gram,L,K,gender,ttr_mean,ttr_p2_5,ttr_p97_5
unigram,500,500,Men,0.754204,0.72,0.79
unigram,500,500,Women,0.66262,0.63,0.698
unigram,1000,500,Men,0.627192,0.602,0.653
unigram,1000,500,Women,0.5208880000000001,0.498,0.543
unigram,2000,500,Men,0.48737199999999997,0.471475,0.5032625
unigram,2000,500,Women,0.375322,0.3615,0.388
unigram,5000,500,Men,0.3137708,0.3058,0.3216
unigram,5000,500,Women,0.2125628,0.207895,0.217505
bigram,500,500,Men,0.992108,0.984,0.998
bigram,500,500,Women,0.9375679999999998,0.91895,0.956
bigram,1000,500,Men,0.983976,0.976,0.991
bigram,1000,500,Women,0.883206,0.866475,0.899
bigram,2000,500,Men,0.9693620000000001,0.9625,0.9767625
bigram,2000,500,Women,0.7879919999999999,0.7737375,0.8025
bigram,5000,500,Men,0.9289052,0.9226,0.9364
bigram,5000,500,Women,0.5856636000000001,0.5784,0.5936
