gram,gender,total_tokens,unique_types,ttr_raw,hdd_42,mtld_approx
unigram,Men,62160,3782,0.06084298584298584,0.9708194944496678,606.7581701667611
unigram,Women,5095,1315,0.25809617271835134,0.9562793955239816,366.92534739757065
bigram,Men,61056,49201,0.8058339884696016,0.9996592566795657,22105.952994366737
bigram,Women,4984,4482,0.8992776886035313,0.9986812594302971,2802.323428590017
