gram,dimension,token,global_sign,subcorpora_with_token,consistency_rate,median_abs_pref
1gram,period,龍,Male,4,1.0,100.0
1gram,period,齊,Female,3,0.6666666666666666,100.0
1gram,period,亂,Female,3,0.3333333333333333,100.0
1gram,period,兒,Female,3,0.6666666666666666,100.0
1gram,period,珍,Female,3,0.3333333333333333,100.0
1gram,period,拜,Female,3,0.3333333333333333,100.0
1gram,period,眉,Female,3,1.0,100.0
1gram,period,嗟,Female,3,0.6666666666666666,100.0
1gram,period,永,Female,3,0.6666666666666666,100.0
1gram,period,形,Female,3,0.3333333333333333,100.0
1gram,period,宵,Female,3,0.3333333333333333,100.0
1gram,period,官,Female,4,0.25,100.0
1gram,period,求,Male,4,0.75,100.0
1gram,period,者,Male,3,1.0,100.0
1gram,period,德,Male,4,0.75,100.0
1gram,period,安,Male,3,0.6666666666666666,100.0
1gram,period,守,Male,4,0.75,100.0
1gram,period,宿,Male,3,1.0,100.0
1gram,period,嶺,Male,3,0.6666666666666666,100.0
1gram,period,川,Male,4,1.0,100.0
1gram,period,州,Male,3,1.0,100.0
1gram,period,岩,Male,3,1.0,100.0
1gram,period,帝,Male,3,1.0,100.0
1gram,period,桂,Male,3,0.6666666666666666,100.0
1gram,period,方,Male,4,0.75,100.0
1gram,period,晴,Male,3,1.0,100.0
1gram,period,物,Male,3,1.0,100.0
1gram,period,星,Male,3,1.0,100.0
1gram,period,曾,Male,3,1.0,100.0
1gram,period,迎,Male,3,1.0,100.0
1gram,period,車,Male,3,1.0,100.0
1gram,period,跡,Male,3,1.0,100.0
1gram,period,近,Male,3,1.0,100.0
1gram,period,賢,Male,3,1.0,100.0
1gram,period,象,Male,3,1.0,100.0
1gram,period,觀,Male,4,1.0,100.0
1gram,period,奇,Male,3,1.0,100.0
1gram,region,龍,Male,6,1.0,100.0
1gram,region,鸞,Female,4,0.75,100.0
1gram,region,桐,Female,4,1.0,100.0
1gram,region,杳,Female,3,0.3333333333333333,100.0
1gram,region,漸,Female,3,0.3333333333333333,100.0
1gram,region,暫,Female,3,0.3333333333333333,100.0
1gram,region,倚,Female,4,0.5,100.0
1gram,region,兒,Female,4,1.0,77.4
1gram,region,珍,Female,3,0.6666666666666666,100.0
1gram,region,由,Female,3,0.3333333333333333,100.0
1gram,region,隱,Female,3,0.6666666666666666,16.79999999999999
1gram,region,勤,Female,4,0.5,100.0
1gram,region,閒,Female,3,0.3333333333333333,100.0
1gram,region,抱,Female,3,0.3333333333333333,100.0
1gram,region,盈,Female,3,0.3333333333333333,100.0
1gram,region,眉,Female,3,1.0,100.0
1gram,region,憑,Female,3,1.0,100.0
1gram,region,遲,Female,3,0.3333333333333333,100.0
1gram,region,稱,Female,3,0.6666666666666666,100.0
1gram,region,啼,Female,3,0.6666666666666666,100.0
1gram,region,送,Female,3,0.3333333333333333,100.0
1gram,region,管,Female,4,0.5,100.0
1gram,region,嗟,Female,3,0.6666666666666666,100.0
1gram,region,緣,Female,3,0.6666666666666666,100.0
1gram,region,賦,Female,3,0.3333333333333333,100.0
1gram,region,妝,Female,3,0.6666666666666666,100.0
1gram,region,貴,Female,3,0.3333333333333333,100.0
1gram,region,貞,Female,4,0.5,100.0
1gram,region,精,Female,3,0.3333333333333333,100.0
1gram,region,罷,Female,3,0.6666666666666666,100.0
1gram,region,恐,Female,4,0.5,100.0
1gram,region,解,Female,4,0.75,100.0
1gram,region,永,Female,3,1.0,100.0
1gram,region,蕭,Female,3,0.3333333333333333,100.0
1gram,region,蓬,Female,3,0.6666666666666666,100.0
1gram,region,荷,Female,3,0.3333333333333333,100.0
1gram,region,輪,Female,3,0.3333333333333333,100.0
1gram,region,求,Male,3,1.0,100.0
1gram,region,者,Male,4,1.0,100.0
1gram,region,德,Male,5,1.0,100.0
1gram,region,安,Male,6,0.8333333333333334,100.0
1gram,region,守,Male,3,0.6666666666666666,100.0
1gram,region,小,Male,3,1.0,100.0
1gram,region,喜,Male,3,0.3333333333333333,63.199999999999996
1gram,region,茲,Male,4,1.0,100.0
1gram,region,岸,Male,4,0.75,100.0
1gram,region,峰,Male,6,1.0,100.0
1gram,region,嶺,Male,3,0.6666666666666666,100.0
1gram,region,川,Male,4,1.0,100.0
1gram,region,州,Male,3,0.6666666666666666,100.0
1gram,region,苑,Male,3,0.6666666666666666,100.0
1gram,region,岩,Male,4,1.0,100.0
1gram,region,帝,Male,3,1.0,100.0
1gram,region,田,Male,4,1.0,100.0
1gram,region,瑞,Male,3,1.0,100.0
1gram,region,棲,Male,4,0.75,100.0
1gram,region,桃,Male,3,1.0,100.0
1gram,region,桂,Male,4,0.75,100.0
1gram,region,杯,Male,3,1.0,100.0
1gram,region,方,Male,5,1.0,100.0
1gram,region,湖,Male,3,0.6666666666666666,100.0
1gram,region,暗,Male,3,1.0,100.0
1gram,region,晴,Male,3,1.0,100.0
1gram,region,物,Male,5,1.0,100.0
1gram,region,映,Male,4,1.0,100.0
1gram,region,星,Male,5,1.0,100.0
1gram,region,曾,Male,5,1.0,100.0
1gram,region,師,Male,3,1.0,100.0
1gram,region,帶,Male,4,1.0,100.0
1gram,region,舟,Male,5,1.0,100.0
1gram,region,迎,Male,3,1.0,100.0
1gram,region,轉,Male,6,1.0,100.0
1gram,region,士,Male,4,0.75,100.0
1gram,region,軒,Male,4,1.0,100.0
1gram,region,車,Male,5,1.0,100.0
1gram,region,跡,Male,4,1.0,100.0
1gram,region,近,Male,6,0.8333333333333334,100.0
1gram,region,足,Male,3,0.6666666666666666,100.0
1gram,region,越,Male,3,0.6666666666666666,100.0
1gram,region,賢,Male,4,1.0,100.0
1gram,region,象,Male,5,1.0,100.0
1gram,region,變,Male,3,0.6666666666666666,100.0
1gram,region,奇,Male,3,1.0,100.0
1gram,class_coarse,龍,Male,3,1.0,100.0
1gram,class_coarse,兒,Female,3,0.6666666666666666,100.0
1gram,class_coarse,錦,Female,3,0.3333333333333333,100.0
1gram,class_coarse,眉,Female,3,1.0,100.0
1gram,class_coarse,啼,Female,3,0.6666666666666666,100.0
1gram,class_coarse,妾,Female,3,1.0,100.0
1gram,class_coarse,解,Female,3,1.0,100.0
1gram,class_coarse,那,Female,3,0.6666666666666666,100.0
1gram,class_coarse,宵,Female,3,0.6666666666666666,100.0
1gram,class_coarse,荷,Female,3,0.6666666666666666,100.0
1gram,class_coarse,求,Male,3,1.0,100.0
1gram,class_coarse,德,Male,3,1.0,100.0
1gram,class_coarse,安,Male,3,1.0,100.0
1gram,class_coarse,宿,Male,3,1.0,100.0
1gram,class_coarse,小,Male,3,0.6666666666666666,100.0
1gram,class_coarse,岸,Male,3,1.0,100.0
1gram,class_coarse,川,Male,3,1.0,100.0
1gram,class_coarse,州,Male,3,0.6666666666666666,100.0
1gram,class_coarse,岩,Male,3,1.0,100.0
1gram,class_coarse,帝,Male,3,1.0,100.0
1gram,class_coarse,瑞,Male,3,1.0,100.0
1gram,class_coarse,洛,Male,3,1.0,100.0
1gram,class_coarse,桂,Male,3,0.6666666666666666,100.0
1gram,class_coarse,方,Male,3,1.0,100.0
1gram,class_coarse,晴,Male,3,0.6666666666666666,100.0
1gram,class_coarse,物,Male,3,1.0,100.0
1gram,class_coarse,映,Male,3,0.6666666666666666,100.0
1gram,class_coarse,星,Male,3,0.6666666666666666,100.0
1gram,class_coarse,帶,Male,3,0.6666666666666666,100.0
1gram,class_coarse,迎,Male,3,1.0,100.0
1gram,class_coarse,足,Male,3,0.6666666666666666,100.0
1gram,class_coarse,越,Male,3,0.6666666666666666,100.0
1gram,class_coarse,奇,Male,3,1.0,100.0
2gram,region,不識,Female,3,0.6666666666666666,100.0
2gram,region,良人,Female,3,1.0,100.0
