詩人,性別,唐詩紀事卷,birth-death,,,Geography,背景,當官年代,,
"   1. 白居易: 2,600 首",male,"38, 39, 49",772-846,,,唐朝--河東道--太原--太谷(Taigu)/唐朝--關內道--華州--下邽(Xiagui),buddhist monk僧人、calligrapher書法家、poet詩人、man of culture (wenren)文人、skilled at writing工於文、 civil office[為官者：文],803-?,,
"   2. 杜甫: 1,137 首",male,18,712-770,,,唐朝--關內道--京兆--長安(Chang'an),calligrapher書法家、poet詩人、man of culture (wenren)文人、 civil office[為官者：文],751-764,,
   3. 李白: 853 首,male,18,701-762,,,唐朝--河南道--兗州--任城(Rencheng),calligrapher書法家、poet詩人、man of culture (wenren)文人、skilled at writing工於文、 civil office[為官者：文],742-759,,
   4. 齊己: 770 首,male,75,863-937,864-943?,,唐朝--江南道--潭州--長沙(Changsha),僧、skilled at writing工於文,,,
   5. 劉禹錫: 688 首,male,39,772-842,,,唐朝--河北道--河南--洛陽(Luoyang),calligrapher書法家、poet詩人、man of culture (wenren)文人、 civil office[為官者：文],795-836,,
   6. 元稹: 563 首,male,37,779-831,,,唐朝--河北道--河南--洛陽(Luoyang),calligrapher書法家、poet詩人、man of culture (wenren)文人、skilled at writing工於文、 office: chief councilor[宰相],809-830,,
   7. 李商隱: 552 首,male,53,813-858,,,懷州--河內(Henei)Moved to遷住地,calligrapher書法家、poet詩人、man of culture (wenren)文人、skilled at writing工於文、 civil office[為官者：文],829-856,,
   8. 韋應物: 540 首,male,26,737-?,737-792,,唐朝--關內道--京兆--長安(Chang'an)/唐朝--關內道--京兆--萬年(Wannian),poet詩人、man of culture (wenren)文人、skilled at writing工於文、 civil office[為官者：文],774-789,,
   9. 貫休: 537 首,male,75,832-912,,,唐朝--江南道--婺州--蘭溪(Lanxi),僧、skilled at writing工於文,,,
  10. 陸龜蒙: 503 首,male,64,?-881,,,唐朝--江南道--蘇州--吳縣(Wu Xian),poet詩人、man of culture (wenren)文人、recluse[隱士],,,
