作者,性別,題目,詩,附註
徐賢妃,女,長門怨,,
江妃,女,謝賜珍珠詩,,魯迅認為並無此人
虞世南,男,怨歌行,,
虞世南,男,雜曲歌辭-陸州歌，排遍第三,,
虞世南,男,雜曲歌辭-祓禊曲,,
李百藥,男,妾薄命,,
崔湜,男,婕妤怨,,
王勃,男,銅雀妓其一-(金鳳鄰銅雀),,
王勃,男,銅雀妓其一-(妾本深宮妓),,
杜審言,男,賦得妾薄命,,
王無競,男,銅雀臺,,
徐彥伯,男,倢伃,,
喬知之,男,長信宮中樹,,
喬知之,男,銅雀妓,,
喬備,男,長門怨,,
陳子昂,男,感遇詩其二十六（荒哉穆天子),,
吳少微,男,長門怨,,
吳少微,男,怨歌行,,
王適,男,銅雀妓,,
齊澣,男,長門怨,,
沈佺期,男,鳳簫曲,,
沈佺期,男,古歌,,
沈佺期,男,銅雀臺,,
沈佺期,男,長門怨,,
張循之,男,長門怨,,
鄭愔,男,銅雀妓,,
劉庭琦,男,銅雀臺,,
袁暉,男,長門怨,,
袁暉,男,銅雀妓,,
崔國輔,男,怨詞(妾有羅衣裳),,
崔國輔,男,長信草/長信宮,,
崔國輔,男,秦女卷衣,,
王維,男,班婕妤其一（玉窗螢影度）,,
王維,男,班婕妤其二（宮殿生秋草）,,
王維,男,班婕妤其三（怪來妝閣閉,,
崔顥,男,行路難,,
崔顥,男,邯鄲宮人怨,,
崔顥,男,七夕,,
崔顥,男,長門怨,,
祖詠,男,古意其一（夫差日淫放）,,
王昌齡,男,春宮曲,,
王昌齡,男,西宮春怨,,
王昌齡,男,西宮秋怨,,
王昌齡,男,長信秋詞其一（金井梧桐秋葉黃）,,
王昌齡,男,長信秋詞其二（高殿秋砧響夜闌）,,
王昌齡,男,長信秋詞其三（奉帚平明金殿開）,,
王昌齡,男,長信秋詞其四（真成薄命久尋思）,,
王昌齡,男,長信秋詞其五（長信宮中秋月明）,,
王諲,男,後庭怨,,
王諲,男,長信怨,,
劉長卿,男,長門怨,,
劉長卿,男,昭陽曲,,
李華,男,長門怨,,
王翰,男,古蛾眉怨/蛾眉怨,,
孟浩然,男,長樂宮,,
李白,男,古風其四十九（美人出南國）,,
李白,男,中山孺子妾歌,,
李白,男,妾薄命,,
李白,男,怨歌行,,
李白,男,玉階怨,,
李白,男,邯鄲才人嫁爲廝養卒婦,,
李白,男,懼讒,,
李白,男,長信宮/長信怨,,
李白,男,長門怨其一（天迴北斗挂西樓),,
李白,男,長門怨其二（桂殿長愁不記春),,
李白,男,怨情,,
韋應物,男,送宮人入道,,
岑參,男,長門怨,,
薛奇童,男,吳聲子夜歌,,
薛奇童,男,楚宮詞其二（日晚梧洞落,,
粱鍠,,長門怨,,
李嘉祐,男,古興,,
賈至,男,長門怨,,
賈至,男,銅雀臺,,
錢起,男,長信怨,,
韓翃,男,漢宮曲其二（繡幕珊瑚鉤),,
皇甫冉,男,秋怨,,
皇甫冉,男,婕妤春怨/婕妤怨,,
皇甫冉,男,婕妤怨,,
劉方平,男,銅雀妓,,
劉方平,男,班婕妤,,
劉方平,男,長信宮,,
劉方平,男,春怨,,
鄭錫,男,玉階怨,,
顧況,男,葉上題詩從苑中流出,,
顧況,男,宮詞,,
耿湋,男,長門怨,,
戎昱,男,閨情,,
竇鞏,男,宮人斜,,
戴叔倫,男,獨不見,,
戴叔倫,男,長門怨,,
戴叔倫,男,宮詞,,
戴叔倫,男,漢宮人入道,,
戴叔倫,男,後宮曲,,
盧綸,男,長門怨,,
盧綸,男,過玉真公主影殿,,
李益,男,宮詞,,
李端,男,妾薄命,,
李端,男,長門怨,,
王建,男,古宮怨,,
王建,男,銅雀臺,,
王建,男,長門燭,,
王建,男,舊宮人,,
王建,男,宮人斜,,
王建,男,長門,,
王建,男,宮詞其十八（魚藻宮中鎖翠娥）,,
王建,男,宮詞其三十三（春風吹雨灑旗竿）,,
王建,男,宮詞其三十六（每夜停燈熨御衣）,,
王建,男,宮詞其三十七（因喫櫻桃病放歸）,,
王建,男,宮詞其三十八（欲迎天子看花去),,
王建,男,宮詞其三十九（往來舊院不堪修),,
王建,男,宮詞其四十（自誇歌舞勝諸人）,,
王建,男,宮詞其四十三（合暗報來門鎖了）,,
王建,男,宮詞其五十四（私縫黃帔捨釵梳）,,
王建,男,宮詞其五十六（未承恩澤一家愁）,,
王建,男,宮詞其六十九（宮人早起笑相呼）,,
王建,男,宮詞其七十六（鸚鵡誰教轉舌關）,,
王建,男,宮詞其七十九（春風院院落花堆）,,
王建,男,宮詞其八十三（教遍宮娥唱遍詞）,,
王建,男,宮詞其八十七（窗窗戶戶院相當）,,
王建,男,宮詞其九十（樹頭樹底覓殘紅）,,
王建,男,宮詞其九十六（步行送入長門裏）,,
王建,男,宮詞其九十九（後宮宮女無多少）,,
朱放,男,銅雀妓,,
權德輿,男,宮人斜絕句,,
羊士諤,男,和李都郎中經宮人斜,,
楊巨源,男,月宮詞,,
令狐楚,男,思君恩,,
令狐楚,男,宮人斜,,
王涯,男,思君恩,,
王涯,男,宮詞其一（白人宜著紫衣裳）,,
王涯,男,宮詞其二（五更初起覺風寒）,,
王涯,男,宮詞其六（箏翻禁曲覺聲難）,,
王涯,男,宮詞其九（永巷重門漸半開）,,
王涯,男,宮詞其十（春風簾裏舊青娥）,,
王涯,男,宮詞其十三（白雪猧兒拂地行）,,
王涯,男,宮詞其二十三（銀瓶瀉水欲朝妝）,,
歐陽詹,男,銅雀妓,,
劉禹錫,男,團扇歌,,
劉禹錫,男,詠古二首有所寄其一（車音想轔轔）,,
劉禹錫,男,魏宮詞其一（日晚長秋簾外報）,,
劉禹錫,男,魏宮詞其二（日映西陵松柏枝）,,
劉禹錫,男,阿嬌怨,,
劉禹錫,男,秋扇詞,,
張仲素,男,思君恩,,
張籍,男,吳宮怨,,
張籍,男,白頭吟,,
張籍,男,楚妃怨,,
張籍,男,離宮怨,,
張籍,男,送宮人入道,,
張籍,男,舊宮人,,
張籍,男,宿山祠,,
李賀,男,河南府試十二月樂詞并閨月·十月,,
李賀,男,宮娃歌,,
李賀,男,三月過行宮,,
李賀,男,追和何謝銅雀妓,,
李賀,男,馮小憐,,
李賀,男,感諷六首,,
李賀,男,謠俗,,
元稹,男,苦樂相倚曲,,
元稹,男,上陽白髮人,,
元稹,男,月暗,,
白居易,男,上陽白髮人·愍怨曠也,,
白居易,男,陵園妾·憐幽閉也,,
白居易,男,昭君怨,,
白居易,男,後宮詞（淚溼羅巾夢不成）,,
白居易,男,後宮詞（雨露由來一點恩）,,
白居易,男,怨詞,,
楊衡,男,長門怨,,
劉言史,男,長門怨,,
長孫佐輔,男,古宮怨,,
張碧,男,古意,,
雍裕之,男,宮人斜,,
劉皂,男,長門怨其二（宮殿沉沉月欲分）,,
劉皂,男,長門怨其三（蟬鬢慵梳倚帳門）,,
裴交泰,男,長門怨,,
徐凝,男,漢宮曲,,
徐凝,男,上陽紅葉,,
鮑溶,男,章華宮行,,
鮑溶,男,行路難,,
鮑溶,男,上陽宮月,,
殷堯藩,男,宮詞,,
殷堯藩,男,宮人入道,,
殷堯藩,男,漢宮詞其二（霍家有女字成君）,,
施肩吾,男,帝宮詞,,
陳標,男,倢妤怨,,
顧非熊,男,銅雀妓,,
張祜,男,思歸隱,,
張祜,男,牆頭花其一（蟋蟀鳴洞房）,,
張祜,男,宮詞其一（故國三千里）,,
張祜,男,宮詞其二（自倚能歌日）,,
張祜,男,退宮人其一（開元皇帝掌中憐）,,
張祜,男,退宮人其二（歌喉漸退出宮闈）,,
張祜,男,贈內人,,
張祜,男,折楊柳其一（莫折宮前楊柳枝）,,
張祜,男,折楊柳其二（凝碧池邊斂翠眉）,,
張祜,男,長門怨,,
朱慶餘,男,宮詞,,
杜牧,男,奉陵宮人,,
杜牧,男,出宮人（閒吹玉殿昭華管）,,
杜牧,男,出宮人（平陽附背穿馳道）,,
杜牧,男,簾,,
杜牧,男,宮詞其一（蟬翼輕綃傅體紅）,,
杜牧,男,宮詞其二（監宮引出暫開門）,,
杜牧,男,月,,
杜牧,男,秋夕,,
杜牧,男,宮人塚,,
杜牧,男,洛中其一（柳動晴風拂路塵）,,
許渾,男,經古行宮,,
李商隱,男,促漏,,
李商隱,男,宮辭,,
李商隱,男,深宮,,
李商隱,男,和韓錄事送宮人入道,,
李商隱,男,槿花,,
李商隱,男,效長吉,,
劉得仁,男,悲老宮人,,
劉得仁,男,長門怨,,
薛逢,男,宮詞,,
趙嘏,男,宮烏棲,,
項斯,男,舊宮人,,
項斯,男,送宮人入道,,
孟遲,男,長信宮,,
孟遲,男,宮人斜,,
溫庭筠,男,楊柳其一（宣春苑外最長條）,,
溫庭筠,男,楊柳其四（金縷毶毶碧瓦溝）,,
段成式,男,漢宮詞其一（歌舞初承恩寵時）,,
段成式,男,漢宮詞其二（二八能歌得進名）,,
劉駕,男,長門怨,,
曹鄴,男,恃寵,,
曹鄴,男,金井怨,,
曹鄴,男,代班姬,,
于武陵,男,長信宮其一（簟涼秋氣初）,,
于武陵,男,長信宮其二（一失輦前恩）,,
司馬札,男,宮怨,,
于濆,男,宮怨,,
翁綬,男,婕妤怨,,
汪遵,男,銅雀臺,,
邵謁,男,漢宮井,,
皮日休,男,古宮詞其二（閒騎小步馬）,,
陸龜蒙,男,婕妤怨,,
陸龜蒙,男,宮人斜,,
李咸用,男,妾薄命,,
李咸用,男,銅雀臺,,
李咸用,男,倢妤怨,,
胡曾,男,薄命妾,,
胡曾,男,銅雀臺,,
羅鄴,男,上陽宮,,
羅鄴,男,螢其一（水殿清風玉戶開）,,
羅鄴,男,宮中其一（芳草長含玉輦塵）,,
羅鄴,男,宮中其二（雖然自小屬梨園）,,
羅隱,男,銅雀臺（強歌強舞竟難勝）,,
羅隱,男,宮詞,,
高蟾,男,長門怨（天上何勞萬古春）,,
高蟾,男,華清宮,,
高蟾,男,長信宮其一（天上夢魂何杳香）,,
高蟾,男,長信宮其二（天上鳳皇休寄夢）,,
高蟾,男,宮詞,,
章碣,男,東都望幸,,
鄭谷,男,長門怨其一（閒把羅衣泣鳳皇）,,
鄭谷,男,長門怨其二（流水君恩共不回）,,
韓偓,男,宮詞,,
韓偓,男,長信宮其一（天上夢魂何杳香）,,
吳融,男,上陽宮辭,,
盧汝弼,男,薄命妾,,
王渙,男,惆悵詩其八（青絲一綹墮雲鬟）,,
王渙,男,惆悵詩其十二（夢裏分明入漢宮）,,
杜荀鶴,男,春宮怨,,
韋莊,男,宮怨,,
韋莊,男,撫盈歌,,
王貞白,男,長門怨其一（寂寞故宮春）,,
王貞白,男,長門怨其二（葉落長門靜）,,
王貞白,男,折楊柳其一（枝枝交影銷長門）,,
張蠙,男,宮詞,,
徐夤,男,上陽宮詞,,
徐夤,男,李夫人其一（不望金輿到錦帷）,,
錢珝,男,春恨其三（永巷頻聞小苑遊）,,
崔道融,男,銅雀妓其一（嚴妝垂玉筯）,,
崔道融,男,銅雀妓其二（歌咽新翻曲）,,
崔道融,男,班婕妤,,
崔道融,男,長門怨（長門春欲盡）,,
崔道融,男,長門怨（長門花泣一枝春）,,
