作者,性別,題目,詩,附註,
李白,男,玉階怨,,,https://www.guwenshiji.com/poem/?classify=%E5%AE%AB%E6%80%A8
朱慶餘,男,宮詞,,,
司馬札,男,宮怨,,,
杜荀鶴,男,春宮怨,,,
王昌齡,男,西宮春怨,,,
王昌齡,男,春宮曲,,,
張祜,男,宮詞-故國三千里,,,
李商隱,男,宮辭,,,
白居易,男,上陽白髮人,,,
白居易,男,後宮詞,,,
李白,男,長門怨二首,,,
劉方平,男,春怨,,,
顧況,男,宮詞,,,
薛逢,男,宮詞,,,
張祜,男,贈內人,,,
李咸用,男,春宮詞,,,
李益,男,宮怨,,,
長孫輔佐,男,宮怨,,,
于濆,男,宮怨,,,
柯崇,男,宮怨,,,
韋莊,男,宮怨,,,
任翻,男,宮怨,,,
天寶宮人,女,題洛苑梧葉上二首,,這四首詩如初疑撤，同屬紅葉題詩的系列，似出於好事者的偽託,
德宗宮人,女,題花葉詩,,這四首詩如初疑撤，同屬紅葉題詩的系列，似出於好事者的偽託,
宣宗宮人,女,題紅葉,,這四首詩如初疑撤，同屬紅葉題詩的系列，似出於好事者的偽託,
江妃,女,,,此人可能為假,
于武陵,男,長信宮二首,,,
嚴識玄,,班倢伃,,,
王昌齡,,長信秋詞五首,,3,
周濆,,重門曲,,,
陳子昂,男,感遇詩,,26,
王維,,班倢伃三首,,,
王貞白,,長門怨二首,,,
高蟾,,華清宮,,,
令狐楚,,思君恩,,,
王貞白,,折楊柳三首,,,
徐夤,,上陽宮詞,,,
李建勳,,宮詞,,,
白居易,,後宮詞,,,
薛逢,,宮詞,,,
花蕊夫人,女,宮詞,,"13, 16, 56",
李白,,怨歌行,,,
王建,,長門,,,
李咸用,,妾薄命,,,
李白,,古風,,49,
白居易,,陵園妾,,,
鮑溶,,行路難,,,
段成式,,漢宮怨二首,,,
岑參,,長門怨,,,
齊澣,,長門怨,,,
張循之,,長門怨,,,
戴叔倫,,長門怨,,,
魏奉古,,長門怨,,,
王建,,宮詞,,"33, 43, 87, 96",
顧況,,葉上題詩從苑中流出,,,
李賀,,宮娃歌,,,
開元宮人,,袍中詩,,,
僖宗宮人,,金鎖詩,,,
杜牧,,出宮人二首,,,
項斯,,舊宮人,,,
廖融,,退宮妓,,,
張祜,,退宮人二首,,,
王建,,送宮人入道,,,
韋應物,,送宮人入道,,,
殷堯藩,,宮人入道,,,
于鵠,,送宮人入道歸山,,,
白居易,,春題華陽觀,,,
盧綸,,過玉真公主影殿,,,
李商隱,,和韓錄事送宮人入道,,,
戴叔倫,,漢宮人入道,,,
劉媛,,長門怨二首,,,
劉長卿,,長門怨,,,
王昌齡,,西宮秋怨,,,
戴叔倫,,宮詞,,,
李端,,長門怨,,,
白居易,,太行路,,,
張籍,,節婦吟寄東平李司空師道,,,
朱慶餘,,閨意獻張水部,,,
張籍,,酬朱慶餘,,,
,,在哥舒大夫幕下請辭退託興奉詩,,可能為偽作,
張碣,,東都望幸,,,
李商隱,,槿花,,,
