排名,詞彙,出現次數
1,不,2
2,惟,2
3,時,1
4,祿,1
5,福,1
6,保,1
7,所,1
8,天,1
9,上,1
10,其,1
11,乎,1
12,雲,1
13,厥,1
14,書,1
15,丹,1
16,夢,1
17,虧,1
