作者,詩歌數量,總字符數,平均每首詩字符數,1gram詞彙數,2gram詞彙數,3gram詞彙數,4gram詞彙數
白居易著,2616,219098,83.75,50,50,50,50
杜甫著,1151,121596,105.64,50,50,50,50
李白著,784,85689,109.3,50,50,50,50
齊己著,771,43925,56.97,50,50,50,50
劉禹錫著,682,54515,79.93,50,50,50,50
元稹著,583,75276,129.12,50,50,50,50
李商隱著,550,37757,68.65,50,50,50,50
韋應物著,542,38781,71.55,50,50,50,50
貫休著,533,44930,84.3,50,50,50,50
許渾著,507,29112,57.42,50,50,50,50
陸龜蒙著,502,42879,85.42,50,50,50,50
劉長卿著,501,33722,67.31,50,50,50,50
皎然著,495,36265,73.26,50,50,50,50
杜牧著,492,32504,66.07,50,50,50,50
羅隱著,466,27450,58.91,50,50,50,50
姚合著,458,30111,65.74,50,50,50,50
張籍著,434,26063,60.05,50,50,50,50
錢起著,429,29180,68.02,50,50,50,50
賈島著,404,21356,52.86,50,50,50,50
佚名,398,15541,39.05,50,50,50,50
岑參著,386,28567,74.01,50,50,50,50
孟郊著,384,36953,96.23,50,50,50,50
王建著,372,28962,77.85,50,50,50,50
韓愈著,360,55761,154.89,50,50,50,50
皮日休著,353,33137,93.87,50,50,50,50
王維著,341,24183,70.92,50,50,50,50
權德輿著,338,26593,78.68,50,50,50,50
方幹著,337,19836,58.86,50,50,50,50
張祜著,334,16204,48.51,50,50,50,50
韋莊著,334,21947,65.71,50,50,50,50
溫庭筠著,331,25753,77.8,50,50,50,50
杜荀鶴著,325,17176,52.85,50,50,50,50
盧綸著,317,20535,64.78,50,50,50,50
韓偓著,316,18087,57.24,50,50,50,50
張說著,294,21065,71.65,50,50,50,50
李中著,287,16021,55.82,50,50,50,50
戴叔倫著,283,14735,52.07,50,50,50,50
吳融著,283,19212,67.89,50,50,50,50
孟浩然著,267,15535,58.18,50,50,50,50
薛能著,265,17444,65.83,50,50,50,50
李端著,256,15130,59.1,50,50,50,50
徐鉉著,255,18204,71.39,50,50,50,50
徐夤著,245,16000,65.31,50,50,50,50
皇甫冉著,239,13003,54.41,50,50,50,50
趙嘏著,238,12834,53.92,50,50,50,50
李群玉著,235,14513,61.76,50,50,50,50
司空圖著,230,15993,69.53,50,50,50,50
顧況著,222,14912,67.17,50,50,50,50
李嶠著,206,11683,56.71,50,50,50,50
李頻著,204,10570,51.81,50,50,50,50
高適著,203,21609,106.45,50,50,50,50
黃滔著,198,12008,60.65,50,50,50,50
鄭穀著,197,10818,54.91,50,50,50,50
周曇著,195,6809,34.92,50,50,50,50
張九齡著,192,16981,88.44,50,50,50,50
武元衡著,192,10508,54.73,50,50,50,50
宋之問著,189,13644,72.19,50,50,50,50
李賀著,188,17932,95.38,50,50,50,50
施肩吾著,186,7177,38.59,50,50,50,50
耿湋著,176,9481,53.87,50,50,50,50
鮑溶著,176,13940,79.2,50,50,50,50
司空曙著,173,8679,50.17,50,50,50,50
儲光羲著,171,18619,108.88,50,50,50,50
李洞著,168,9719,57.85,50,50,50,50
張喬著,168,8058,47.96,50,50,50,50
李益著,168,9919,59.04,50,50,50,50
朱慶餘著,168,8611,51.26,50,50,50,50
唐彥謙著,167,10774,64.51,50,50,50,50
馬戴著,165,8670,52.55,50,50,50,50
韓翃著,164,10627,64.8,50,50,50,50
胡曾著,163,5824,35.73,50,50,50,50
王昌齡著,162,10801,66.67,50,50,50,50
沈佺期著,153,11816,77.23,50,50,50,50
柳宗元著,153,16155,105.59,50,50,50,50
曹松著,146,7449,51.02,50,50,50,50
無名氏著,144,8664,60.17,50,50,50,50
楊巨源著,144,10471,72.72,50,50,50,50
羅鄴著,143,7783,54.43,50,50,50,50
李鹹用著,141,10311,73.13,50,50,50,50
劉得仁著,139,7841,56.41,50,50,50,50
許棠著,138,8046,58.3,50,50,50,50
李德裕著,136,8880,65.29,50,50,50,50
李嘉佑著,133,7000,52.63,50,50,50,50
李紳著,127,11851,93.31,50,50,50,50
李頎著,124,11180,90.16,50,50,50,50
雍陶著,123,5667,46.07,50,50,50,50
駱賓王著,120,12893,107.44,50,50,50,50
鄭谷著,114,6143,53.89,50,50,50,50
戎昱著,114,6770,59.39,50,50,50,50
劉商著,110,6072,55.2,50,50,50,50
陳陶著,110,11303,102.75,50,50,50,50
李涉著,106,6666,62.89,50,50,50,50
曹鄴著,106,6315,59.58,50,50,50,50
呂岩著,106,18649,175.93,50,50,50,50
呂溫著,104,5990,57.6,50,50,50,50
劉滄著,102,6417,62.91,50,50,50,50
蘇頲著,102,7080,69.41,50,50,50,50
張蠙著,102,5160,50.59,50,50,50,50
崔塗著,100,4680,46.8,50,50,50,50
無可著,98,5620,57.35,50,50,50,50
項斯著,98,4934,50.35,50,50,50,50
李白,97,6314,65.09,50,50,50,50
羊士諤著,95,5296,55.75,50,50,50,50
周賀著,93,4754,51.12,50,50,50,50
徐凝著,92,3508,38.13,50,50,50,50
元結著,90,9752,108.36,50,50,50,50
盧仝著,90,11434,127.04,50,50,50,50
薛逢著,90,6700,74.44,50,50,50,50
李建勳著,89,5065,56.91,50,50,50,50
陳子昂著,89,8691,97.65,50,50,50,50
李世民,87,5114,58.78,50,50,50,50
獨孤及著,81,7312,90.27,50,50,50,50
歐陽詹著,79,4606,58.3,50,50,50,50
薛濤著,78,3175,40.71,50,50,50,50
殷堯藩著,78,4298,55.1,50,50,50,50
李山甫著,78,5488,70.36,50,50,50,50
吳筠著,77,8341,108.32,50,50,50,50
孫元晏著,75,2550,34.0,50,50,50,50
王勃著,75,4507,60.09,50,50,50,50
劉兼著,73,4983,68.26,50,50,50,50
顧非熊著,72,3609,50.12,50,50,50,50
郎士元著,71,3535,49.79,50,50,50,50
李郢著,71,4014,56.54,50,50,50,50
劉言史著,69,4109,59.55,50,50,50,50
嚴維著,69,3956,57.33,50,50,50,50
章孝標著,68,3722,54.74,50,50,50,50
崔道融著,68,2296,33.76,50,50,50,50
劉駕著,68,4019,59.1,50,50,50,50
王貞白著,66,3566,54.03,50,50,50,50
喻鳧著,65,2976,45.78,50,50,50,50
李隆基,63,3798,60.29,50,50,50,50
牟融著,62,4039,65.15,50,50,50,50
孫逖著,61,3889,63.75,50,50,50,50
楊衡著,60,3649,60.82,50,50,50,50
汪遵著,60,2008,33.47,50,50,50,50
陳羽著,60,2811,46.85,50,50,50,50
盧照鄰著,56,3420,61.07,50,50,50,50
王周著,53,3144,59.32,50,50,50,50
裴夷直著,53,2081,39.26,50,50,50,50
盧照鄰,52,3513,67.56,50,50,50,50
裴說著,52,2659,51.13,50,50,50,50
常建著,51,4043,79.27,50,50,50,50
段成式著,51,4297,84.25,50,50,50,50
于武陵著,50,2315,46.3,50,50,50,50
皇甫曾著,50,2950,59.0,50,50,50,50
魚玄機著,49,2821,57.57,50,50,50,50
張繼著,48,2156,44.92,50,50,50,50
於鵠著,48,2749,57.27,50,50,50,50
高駢著,48,1936,40.33,50,50,50,50
崔峒著,48,2438,50.79,50,50,50,50
武則天,46,1451,31.54,50,50,50,50
令狐楚著,44,2561,58.2,50,50,50,50
靈一著,43,2094,48.7,50,50,50,50
王績,42,3196,76.1,50,50,50,50
李乂著,42,2362,56.24,50,50,50,50
曹唐著,41,7326,178.68,50,50,50,50
賈至著,41,2790,68.05,50,50,50,50
譚用之著,40,2613,65.33,50,50,50,50
張謂著,40,2483,62.08,50,50,50,50
竇鞏著,40,1707,42.67,50,50,50,50
司馬紮著,39,2334,59.85,50,50,50,50
楊凝著,39,1570,40.26,50,50,50,50
崔顥著,39,3845,98.59,50,50,50,50
儲嗣宗著,39,1718,44.05,50,50,50,50
杜審言著,39,3020,77.44,50,50,50,50
虞世南,38,2419,63.66,50,50,50,50
秦系著,38,1876,49.37,50,50,50,50
包佶著,38,2112,55.58,50,50,50,50
秦韜玉著,37,2274,61.46,50,50,50,50
祖詠著,37,2013,54.41,50,50,50,50
崔國輔著,37,1581,42.73,50,50,50,50
李遠著,36,1825,50.69,50,50,50,50
陸暢著,36,1334,37.06,50,50,50,50
魏征,36,1279,35.53,50,50,50,50
唐求著,36,1728,48.0,50,50,50,50
李咸用著,36,2253,62.58,50,50,50,50
於濆著,35,1894,54.11,50,50,50,50
李昌符著,35,1715,49.0,50,50,50,50
褚亮,34,1336,39.29,50,50,50,50
孫光憲著,34,4311,126.79,50,50,50,50
楊炯著,33,2769,83.91,50,50,50,50
姚鵠著,33,2156,65.33,50,50,50,50
尚顏著,33,1699,51.48,50,50,50,50
邵謁著,33,2132,64.61,50,50,50,50
林寬著,33,1725,52.27,50,50,50,50
聶夷中著,32,2017,63.03,50,50,50,50
張泌著,32,2459,76.84,50,50,50,50
馮延巳著,32,4187,130.84,50,50,50,50
高蟾著,32,1171,36.59,50,50,50,50
崔湜著,32,2332,72.88,50,50,50,50
孟貫著,31,1474,47.55,50,50,50,50
翁承贊著,31,1755,56.61,50,50,50,50
李賀,31,1130,36.45,50,50,50,50
徐彥伯著,31,2465,79.52,50,50,50,50
張祜,31,1127,36.35,50,50,50,50
雍裕之著,30,859,28.63,50,50,50,50
崔櫓著,30,1972,65.73,50,50,50,50
熊孺登著,30,1166,38.87,50,50,50,50
顏真卿著,30,3194,106.47,50,50,50,50
來鵠著,29,2017,69.55,50,50,50,50
鄭巢著,29,1380,47.59,50,50,50,50
杜光庭著,29,2054,70.83,50,50,50,50
盧肇著,29,1839,63.41,50,50,50,50
裴迪著,29,863,29.76,50,50,50,50
蘇拯著,29,1906,65.72,50,50,50,50
裴度著,28,2526,90.21,50,50,50,50
劉希夷著,28,3354,119.79,50,50,50,50
殷文圭著,28,1833,65.46,50,50,50,50
劉叉著,27,1809,67.0,50,50,50,50
張南史著,27,1768,65.48,50,50,50,50
修睦著,27,1257,46.56,50,50,50,50
劉威著,27,1524,56.44,50,50,50,50
李百藥著,26,1747,67.19,50,50,50,50
劉憲著,26,1406,54.08,50,50,50,50
沈亞之著,26,1799,69.19,50,50,50,50
盧象著,26,1875,72.12,50,50,50,50
綦毋潛著,26,1299,49.96,50,50,50,50
章碣著,26,1560,60.0,50,50,50,50
竇常著,26,1429,54.96,50,50,50,50
許敬宗,26,1678,64.54,50,50,50,50
朱放著,26,1039,39.96,50,50,50,50
周樸著,25,1202,48.08,50,50,50,50
歐陽炯著,25,3466,138.64,50,50,50,50
子蘭著,24,1105,46.04,50,50,50,50
劉方平著,24,1176,49.0,50,50,50,50
鄭愔著,24,1653,68.88,50,50,50,50
王涯著,24,2112,88.0,50,50,50,50
韓琮著,24,1305,54.38,50,50,50,50
朱灣著,23,1533,66.65,50,50,50,50
和凝著,23,5139,223.43,50,50,50,50
於鄴著,23,1008,43.83,50,50,50,50
竇群著,23,1063,46.22,50,50,50,50
白居易,23,1447,62.91,50,50,50,50
張仲素著,23,1366,59.39,50,50,50,50
毛文錫著,22,1708,77.64,50,50,50,50
張籍,22,884,40.18,50,50,50,50
清江著,22,1203,54.68,50,50,50,50
周繇著,22,1150,52.27,50,50,50,50
伍喬著,22,1347,61.23,50,50,50,50
李煜著,22,1814,82.45,50,50,50,50
陸希聲著,21,844,40.19,50,50,50,50
趙彥昭著,21,1080,51.43,50,50,50,50
周朴著,21,1136,54.1,50,50,50,50
孫魴著,21,2171,103.38,50,50,50,50
楊師道,21,938,44.67,50,50,50,50
竇牟著,21,1341,63.86,50,50,50,50
賀知章著,20,1171,58.55,50,50,50,50
成彥雄著,20,924,46.2,50,50,50,50
許彬著,20,1004,50.2,50,50,50,50
竇庠著,20,1748,87.4,50,50,50,50
楊淩著,20,730,36.5,50,50,50,50
趙嘏,20,800,40.0,50,50,50,50
李冶著,19,969,51.0,50,50,50,50
李九齡著,19,810,42.63,50,50,50,50
胡宿著,19,1172,61.68,50,50,50,50
上官儀,19,932,49.05,50,50,50,50
長孫佐輔著,19,1634,86.0,50,50,50,50
包何著,19,942,49.58,50,50,50,50
楊憑著,19,720,37.89,50,50,50,50
蕭穎士著,19,2582,135.89,50,50,50,50
沈佺期,18,775,43.06,50,50,50,50
貫休,18,936,52.0,50,50,50,50
劉禹錫,18,1528,84.89,50,50,50,50
任翻著,18,785,43.61,50,50,50,50
孟遲著,18,674,37.44,50,50,50,50
靈澈著,18,1046,58.11,50,50,50,50
于鵠著,18,1160,64.44,50,50,50,50
喻坦之著,18,1004,55.78,50,50,50,50
喬知之著,18,2127,118.17,50,50,50,50
郭震著,18,876,48.67,50,50,50,50
崔融1著,17,1460,85.88,50,50,50,50
王初著,17,852,50.12,50,50,50,50
顧夐著,17,2754,162.0,50,50,50,50
張又新著,17,665,39.12,50,50,50,50
皇甫松著,17,1071,63.0,50,50,50,50
董思恭著,17,823,48.41,50,50,50,50
孟雲卿著,17,1461,85.94,50,50,50,50
張子容著,17,1052,61.88,50,50,50,50
法振著,17,841,49.47,50,50,50,50
趙冬曦著,17,1284,75.53,50,50,50,50
陶翰著,17,1600,94.12,50,50,50,50
李適著,17,1016,59.76,50,50,50,50
徐氏,16,476,29.75,50,50,50,50
李煜,16,632,39.5,50,50,50,50
劉複著,16,1174,73.38,50,50,50,50
劉昚虛著,16,1083,67.69,50,50,50,50
棲白著,16,774,48.38,50,50,50,50
沈彬著,16,1234,77.12,50,50,50,50
李珣著,16,2681,167.56,50,50,50,50
朱景玄著,16,575,35.94,50,50,50,50
陸龜蒙,16,697,43.56,50,50,50,50
溫庭筠,16,712,44.5,50,50,50,50
梁鍠著,16,737,46.06,50,50,50,50
孟郊,16,974,60.88,50,50,50,50
王轂著,16,989,61.81,50,50,50,50
王建,16,984,61.5,50,50,50,50
廣宣著,16,1026,64.12,50,50,50,50
張賁著,16,763,47.69,50,50,50,50
王仁裕著,15,939,62.6,50,50,50,50
暢當著,15,851,56.73,50,50,50,50
蘇味道著,15,994,66.27,50,50,50,50
武平一著,15,926,61.73,50,50,50,50
虛中著,15,770,51.33,50,50,50,50
蔣吉著,15,474,31.6,50,50,50,50
鄭遨著,15,661,44.07,50,50,50,50
褚載著,15,808,53.87,50,50,50,50
崔國輔,15,460,30.67,50,50,50,50
張碧著,15,1520,101.33,50,50,50,50
崔曙著,15,904,60.27,50,50,50,50
劉昭禹著,15,734,48.93,50,50,50,50
李適,15,978,65.2,50,50,50,50
鄭畋著,15,914,60.93,50,50,50,50
李華著,14,2532,180.86,50,50,50,50
王翰著,14,1604,114.57,50,50,50,50
盧延讓著,14,820,58.57,50,50,50,50
牛嶠著,14,1487,106.21,50,50,50,50
顧況,13,790,60.77,50,50,50,50
李紓著,13,520,40.0,50,50,50,50
薛據著,13,1073,82.54,50,50,50,50
丘為著,13,879,67.62,50,50,50,50
王季友1著,13,1066,82.0,50,50,50,50
陳子良,13,694,53.38,50,50,50,50
閻朝隱著,13,902,69.38,50,50,50,50
翁洮著,13,795,61.15,50,50,50,50
薛稷著,13,742,57.08,50,50,50,50
盧殷著,13,471,36.23,50,50,50,50
盧僎著,13,1149,88.38,50,50,50,50
楊發著,13,700,53.85,50,50,50,50
李端,13,930,71.54,50,50,50,50
丘丹著,13,777,59.77,50,50,50,50
毛熙震著,13,1563,120.23,50,50,50,50
陳去疾著,12,604,50.33,50,50,50,50
