prefecture,lon,lat,matched,years
京兆,108.94421,34.26661,京兆府,581 ~ 1293
信州,117.96489,28.45069,信州,758 ~ 1276
光州,115.04458,32.1303,光州,583 ~ 1367
兗州,116.98723,35.5986,兖州府,583 ~ 1912
台州,121.1206,28.84313,台州,758 ~ 1276
吉州,114.97128,27.10324,吉州,758 ~ 1276
同州,109.93905,34.79724,同州,618 ~ 741
和縣,118.36112,31.71422,和州,758 ~ 1277
夏州,108.91805,37.59872,夏州,623 ~ 1031
太原,112.38794,37.72863,太原郡,-247 ~ 1217
婺州,119.65,29.08,婺州,manual
宋州,115.64607,34.44766,宋州,621 ~ 741
定州,114.97504,38.52006,定州,774 ~ 892
宣州,118.7425,30.94694,宣州,758 ~ 1165
岐州,107.38592,34.52252,岐州,436 ~ 959
常州,119.9523,31.78278,常州,758 ~ 1276
幽州,116.13558,39.74125,幽州,618 ~ 713
廬州,117.27646,31.86446,庐州,758 ~ 1276
延州,109.46991,36.59181,延州总管府,618 ~ 959
建州,118.32378,27.03886,建州,758 ~ 1161
徐州,117.18768,34.26963,徐州,758 ~ 1270
德州,116.57841,37.3321,德州,621 ~ 731
恆州,114.57,38.15,恆州,manual
恩州,112.35195,22.23814,恩州,758 ~ 890
成都,104.078,30.65039,成都府,663 ~ 1259
揚州,119.43719,32.39127,扬州,758 ~ 919
杭州,120.16862,30.29412,杭州,758 ~ 1128
桂州,110.28626,25.28006,桂州都督府,638 ~ 970
梓州,105.08757,31.09462,梓州,618 ~ 718
楚州,119.14111,33.50279,楚州,758 ~ 1226
歙州,118.43394,29.86577,歙州,758 ~ 1120
汝州,112.83702,34.16176,汝州,606 ~ 1367
江州,115.99,29.71,江州,manual
池州,117.48183,30.65466,池州,766 ~ 1276
汴州,114.34333,34.78548,汴州,621 ~ 741
汾州,111.77903,37.2634,汾州,758 ~ 1217
河中府,110.33231,34.83513,河中府,691 ~ 1368
河南,112.58592,34.72786,河南郡,9 ~ 1043
泉州,118.68,24.91,泉州,manual
洪州,115.89772,28.6749,洪州,758 ~ 1162
涇州,107.18606,35.25615,泾州,188 ~ 939
涿州,115.97,39.49,涿州,manual
深州,115.73602,38.24599,深州,621 ~ 642
渭州,104.65988,34.9836,渭州,758 ~ 880
湖州,120.09931,30.86496,湖州,758 ~ 1225
滑州,114.62544,35.62207,滑州,618 ~ 741
潞州,113.10349,36.18354,潞州,758 ~ 976
潤州,119.44429,32.20649,润州,758 ~ 1112
潭州,112.97813,28.1982,潭州,758 ~ 926
澧州,111.76,29.63,澧州,manual
瀛州,116.08553,38.4357,瀛州,0 ~ 996
相州,114.3455,36.09834,相州,618 ~ 732
睦州,119.49886,29.54448,睦州,758 ~ 1120
福州,119.32158,26.07395,福州,758 ~ 932
秦州,105.71696,34.58547,秦州,619 ~ 716
絳州,111.21615,35.61641,绛州,618 ~ 741
舒州,116.5672,30.63035,舒州,758 ~ 1195
茂州,103.85304,31.68893,茂州,634 ~ 718
華州,109.75989,34.51963,华州,699 ~ 1724
蒲州,110.33,34.84,蒲州,manual
蘇州,120.61862,31.31271,苏州,758 ~ 1112
虔州,114.93248,25.847,虔州,758 ~ 1152
虢州,110.86538,34.52751,虢州,634 ~ 741
蜀州,103.67261,30.63656,蜀州,686 ~ 718
袁州,114.39896,27.7919,袁州,758 ~ 1160
襄州,112.1587,32.02652,襄州,758 ~ 1118
貝州,115.58614,37.08367,贝州,626 ~ 741
越州,120.58,30.0,越州,manual
趙州,114.77218,37.75293,赵州,0 ~ 1117
鄆州,116.28256,35.95607,郓州,754 ~ 1118
鄧州,112.08096,32.68483,邓州,619 ~ 741
鄭州,113.64131,34.75808,郑州,607 ~ 1911
關輔,108.94421,34.26661,京兆府,581 ~ 1293
陝州,111.36268,34.65606,陕州,742 ~ 1367
青州,118.47236,36.68287,青州,621 ~ 741
韶州,113.60342,24.81021,韶州,758 ~ 1277
魏州,115.29563,36.33703,魏州,744 ~ 959
齊州,117.02,36.67,齊州,manual
