全唐詩作者字符數排名 (不包含標題)
==================================================
生成時間: 2025-08-20 22:11:28
注意: 只統計詩歌內容字符，不包含標題

📊 作者排名 (按字符數降序)
----------------------------------------
   1. 白居易: 211,259 字符 (2,600 首詩, 平均 81.3 字符/首)
   2. 杜甫: 119,581 字符 (1,137 首詩, 平均 105.2 字符/首)
   3. 李白: 84,580 字符 (853 首詩, 平均 99.2 字符/首)
   4. 元稹: 66,784 字符 (563 首詩, 平均 118.6 字符/首)
   5. 劉禹錫: 55,281 字符 (688 首詩, 平均 80.4 字符/首)
   6. 韓愈: 51,169 字符 (358 首詩, 平均 142.9 字符/首)
   7. 齊己: 43,739 字符 (770 首詩, 平均 56.8 字符/首)
   8. 貫休: 42,600 字符 (537 首詩, 平均 79.3 字符/首)
   9. 陸龜蒙: 40,802 字符 (503 首詩, 平均 81.1 字符/首)
  10. 李商隱: 37,799 字符 (552 首詩, 平均 68.5 字符/首)
  11. 韋應物: 37,236 字符 (540 首詩, 平均 69.0 字符/首)
  12. 孟郊: 35,898 字符 (390 首詩, 平均 92.0 字符/首)
  13. 皎然: 35,368 字符 (498 首詩, 平均 71.0 字符/首)
  14. 劉長卿: 33,790 字符 (503 首詩, 平均 67.2 字符/首)
  15. 杜牧: 30,895 字符 (484 首詩, 平均 63.8 字符/首)
  16. 皮日休: 30,842 字符 (342 首詩, 平均 90.2 字符/首)
  17. 錢起: 28,899 字符 (425 首詩, 平均 68.0 字符/首)
  18. 姚合: 28,873 字符 (451 首詩, 平均 64.0 字符/首)
  19. 許渾: 28,520 字符 (496 首詩, 平均 57.5 字符/首)
  20. 岑參: 28,367 字符 (384 首詩, 平均 73.9 字符/首)
  21. 羅隱: 26,943 字符 (459 首詩, 平均 58.7 字符/首)
  22. 張籍: 26,624 字符 (450 首詩, 平均 59.2 字符/首)
  23. 王建: 25,855 字符 (380 首詩, 平均 68.0 字符/首)
  24. 權德輿: 24,816 字符 (329 首詩, 平均 75.4 字符/首)
  25. 溫庭筠: 24,735 字符 (338 首詩, 平均 73.2 字符/首)
  26. 王維: 24,319 字符 (346 首詩, 平均 70.3 字符/首)
  27. 韋莊: 21,619 字符 (329 首詩, 平均 65.7 字符/首)
  28. 高適: 21,413 字符 (204 首詩, 平均 105.0 字符/首)
  29. 賈島: 21,004 字符 (401 首詩, 平均 52.4 字符/首)
  30. 張說: 21,001 字符 (293 首詩, 平均 71.7 字符/首)
  31. 盧綸: 20,543 字符 (317 首詩, 平均 64.8 字符/首)
  32. 方幹: 19,420 字符 (331 首詩, 平均 58.7 字符/首)
  33. 吳融: 19,020 字符 (280 首詩, 平均 67.9 字符/首)
  34. 李賀: 18,680 字符 (214 首詩, 平均 87.3 字符/首)
  35. 薛能: 18,306 字符 (267 首詩, 平均 68.6 字符/首)
  36. 儲光羲: 18,171 字符 (172 首詩, 平均 105.6 字符/首)
  37. 徐鉉: 17,877 字符 (249 首詩, 平均 71.8 字符/首)
  38. 韓偓: 17,508 字符 (312 首詩, 平均 56.1 字符/首)
  39. 杜荀鶴: 17,044 字符 (322 首詩, 平均 52.9 字符/首)
  40. 張祜: 16,867 字符 (362 首詩, 平均 46.6 字符/首)
  41. 張九齡: 16,789 字符 (190 首詩, 平均 88.4 字符/首)
  42. 李端: 15,656 字符 (266 首詩, 平均 58.9 字符/首)
  43. 李中: 15,635 字符 (283 首詩, 平均 55.2 字符/首)
  44. 徐夤: 15,575 字符 (241 首詩, 平均 64.6 字符/首)
  45. 顧況: 15,470 字符 (230 首詩, 平均 67.3 字符/首)
  46. 孟浩然: 15,431 字符 (266 首詩, 平均 58.0 字符/首)
  47. 柳宗元: 15,323 字符 (161 首詩, 平均 95.2 字符/首)
  48. 司空圖: 15,309 字符 (228 首詩, 平均 67.1 字符/首)
  49. 戴叔倫: 14,842 字符 (286 首詩, 平均 51.9 字符/首)
  50. 李群玉: 14,573 字符 (235 首詩, 平均 62.0 字符/首)
  51. 鮑溶: 14,491 字符 (183 首詩, 平均 79.2 字符/首)
  52. 呂岩: 13,647 字符 (101 首詩, 平均 135.1 字符/首)
  53. 宋之問: 13,611 字符 (189 首詩, 平均 72.0 字符/首)
  54. 趙嘏: 13,442 字符 (256 首詩, 平均 52.5 字符/首)
  55. 皇甫冉: 13,027 字符 (240 首詩, 平均 54.3 字符/首)
