排名,人物,提及次數,相關詩歌數,關聯人物數
1,少年,611,611,41
2,太守,256,256,27
3,寒山,122,122,10
4,隱者,103,103,10
5,清江,88,88,14
6,書生,75,75,8
7,皎然,71,71,22
8,西施,70,70,6
9,無可,68,68,9
10,賈島,62,62,13
11,織女,55,55,14
12,李白,55,55,19
13,張說,40,40,2
14,王起,34,34,3
15,李中,34,34,2
16,孟郊,30,30,10
17,張籍,28,28,14
18,應物,26,26,7
19,李端,25,25,7
20,杜甫,25,25,10
21,鄭谷,25,25,3
22,段成式,25,25,4
23,棲白,24,24,5
24,韓愈,24,24,8
25,王維,23,23,6
26,靈一,23,23,6
27,顏真卿,23,23,12
28,方幹,23,23,3
29,泠然,22,22,1
30,孟浩然,22,22,7
31,拾得,22,22,5
32,劉禹錫,21,21,9
33,李益,21,21,8
34,廣宣,21,21,3
35,嚴維,20,20,15
36,暢當,20,20,1
37,姚合,20,20,0
38,韋嗣立,19,19,0
39,高亭,19,19,2
40,張希複,19,19,3
41,懷素,18,18,24
42,雲容,18,18,3
43,座客,18,18,2
44,虛中,17,17,5
45,王氏,17,17,1
46,樵夫,17,17,5
47,陸羽,17,17,11
48,白居易,16,16,8
49,李頻,15,15,1
50,王喬,14,14,2
51,厲玄,14,14,2
52,許棠,14,14,2
53,雲表,13,13,3
54,裴度,13,13,7
55,無作,13,13,4
56,景雲,13,13,2
57,利涉,13,13,0
58,寶月,13,13,2
59,穠華,13,13,2
60,卿雲,13,13,1
61,靈澈,13,13,1
62,青童,13,13,1
63,張生,13,13,6
64,顧非熊,13,13,3
65,殷堯藩,13,13,0
66,貫休,13,13,5
67,沈彬,13,13,0
68,鄭符,13,13,3
69,任生,12,12,1
70,無悶,12,12,0
71,司空曙,12,12,6
72,耿湋,12,12,10
73,雍陶,12,12,0
74,陸龜蒙,12,12,3
75,李都,11,11,1
76,裴迪,11,11,2
77,苗發,11,11,1
78,李觀,11,11,1
79,秦系,11,11,0
80,皇甫冉,11,11,1
81,路應,11,11,2
82,崔子向,11,11,5
83,張薦,11,11,6
84,盧綸,11,11,1
85,薛濤,11,11,5
86,朱慶餘,11,11,2
87,張祜,11,11,1
88,江妃,10,10,0
89,王建,10,10,2
90,蕭穎士,10,10,0
91,陳陶,10,10,5
92,吉中孚,10,10,5
93,喻鳧,10,10,0
94,皮日休,10,10,4
95,崔尚,9,9,1
96,荊人,9,9,2
97,錢起,9,9,3
98,王昌齡,9,9,4
99,劉方平,9,9,1
100,皇甫曾,9,9,5
101,朱放,9,9,1
102,吳公,9,9,0
103,劉長卿,9,9,0
104,崔常侍,9,9,1
105,盧仝,9,9,2
106,李餘,9,9,1
107,馬戴,9,9,1
108,羅隱,9,9,2
109,若水,8,8,1
110,陸海,8,8,1
111,張起,8,8,0
112,李秘,8,8,0
113,孟氏,8,8,2
114,李景,8,8,4
115,吳人,8,8,2
116,郎士元,8,8,2
117,尚能,8,8,0
118,李翱,8,8,3
119,李廓,8,8,0
120,杜牧,8,8,2
121,張喬,8,8,1
122,周繇,8,8,0
123,顧雲,8,8,1
124,修睦,8,8,4
125,尚顏,8,8,1
126,賀知章,7,7,2
127,丘為,7,7,0
128,張南史,7,7,1
129,馮著,7,7,1
130,夏侯審,7,7,0
131,張氏,7,7,0
132,薛能,7,7,1
133,崔峒,7,7,4
134,宮嬪,7,7,0
135,皇甫湜,7,7,0
136,歸仁,7,7,0
137,許渾,7,7,1
138,李群玉,7,7,0
139,宋之問,6,6,15
140,棲一,6,6,1
141,龍女,6,6,1
142,李榮,6,6,5
143,尉佗,6,6,0
144,李令,6,6,4
145,高適,6,6,5
146,張旭,6,6,5
147,孟雲卿,6,6,1
148,崔氏,6,6,0
149,顧況,6,6,5
150,王駕,6,6,1
151,皇甫大夫,6,6,0
152,劉駕,6,6,0
153,柳中庸,6,6,0
154,蔡京,6,6,2
155,選人,6,6,2
156,張為,6,6,6
157,李溟,6,6,2
158,左偃,6,6,0
159,齊己,6,6,2
160,薛稷,5,5,15
161,陸暢,5,5,2
162,徐鉉,5,5,4
163,知玄,5,5,0
164,崔融,5,5,0
165,大易,5,5,0
166,尹懋,5,5,1
167,陳羽,5,5,1
168,綦毋潛,5,5,3
169,魏萬,5,5,0
170,薛據,5,5,3
171,鄭中丞,5,5,0
172,包佶,5,5,2
173,龐德公,5,5,0
174,李賓,5,5,0
175,道會,5,5,0
176,鄭錫,5,5,0
177,袁高,5,5,3
178,水神,5,5,0
179,李賀,5,5,5
180,楊凝,5,5,5
181,竇常,5,5,0
182,謙光,5,5,2
183,常理,5,5,1
184,李紳,5,5,3
185,王質,5,5,0
186,韜光,5,5,0
187,費冠卿,5,5,0
188,文秀,5,5,3
189,李郢,5,5,0
190,喻坦之,5,5,1
191,劉得仁,5,5,2
192,陸肱,5,5,1
193,何光遠,5,5,0
194,李適,4,4,15
195,李嶠,4,4,15
196,武平一,4,4,5
197,司馬承禎,4,4,0
198,韓昭,4,4,1
199,孫氏,4,4,0
200,王初,4,4,0
201,衛象,4,4,0
202,陳子昂,4,4,2
203,竇希玠,4,4,0
204,元載,4,4,0
205,崔興宗,4,4,0
206,盧象,4,4,1
207,張果,4,4,1
208,岑參,4,4,0
209,李穆,4,4,0
210,李紓,4,4,2
211,清遠道士,4,4,0
212,上元夫人,4,4,0
213,章八元,4,4,1
214,冷朝陽,4,4,0
215,王元,4,4,0
216,陳元初,4,4,12
217,鮑防,4,4,12
218,元稹,4,4,2
219,何兆,4,4,0
220,馬逢,4,4,1
221,章孝標,4,4,0
222,李逢吉,4,4,0
223,項斯,4,4,0
224,沈亞之,4,4,0
225,盧尚書,4,4,0
226,韓湘,4,4,0
227,劉三複,4,4,0
228,李羽,4,4,0
229,杜荀鶴,4,4,1
230,曹松,4,4,0
231,杜羔,4,4,2
232,孫魴,4,4,0
233,黃巢,4,4,2
234,來濟,3,3,0
235,法輪,3,3,1
236,崔湜,3,3,18
237,上官昭容,3,3,5
238,王晙,3,3,0
239,李泌,3,3,1
240,張建封,3,3,0
241,柳公權,3,3,1
242,李清,3,3,10
243,庭實,3,3,0
244,何扶,3,3,2
245,魏氏,3,3,0
246,清尚,3,3,1
247,杜審言,3,3,0
248,李邕,3,3,0
249,武三思,3,3,0
250,張固,3,3,0
251,林披,3,3,0
252,懷楚,3,3,0
253,馬令,3,3,2
254,宋璟,3,3,4
255,殷遙,3,3,0
256,梁鍠,3,3,0
257,喬琳,3,3,0
258,劉昚虛,3,3,1
