folder,file,author,title,gender,n_chars
G1_宮怨詩,001_于武陵_長信宮.txt,于武陵,長信宮,男,20
G1_宮怨詩,002_于武陵_長信宮二首.txt,于武陵,長信宮二首,男,80
G1_宮怨詩,003_令狐楚_思君恩.txt,令狐楚,思君恩,,20
G1_宮怨詩,004_任翻_宮怨.txt,任翻,宮怨,男,20
G1_宮怨詩,005_僖宗宮人_金鎖詩.txt,僖宗宮人,金鎖詩,,20
G1_宮怨詩,006_元稹_上陽白髮人.txt,元稹,上陽白髮人,男,224
G1_宮怨詩,007_元稹_月暗.txt,元稹,月暗,男,52
G1_宮怨詩,008_元稹_苦樂相倚曲.txt,元稹,苦樂相倚曲,男,168
G1_宮怨詩,009_劉媛_長門怨.txt,劉媛,長門怨,,56
G1_宮怨詩,010_劉庭琦_銅雀台.txt,劉庭琦,銅雀台,男,28
G1_宮怨詩,011_劉得仁_悲老宮人.txt,劉得仁,悲老宮人,男,28
G1_宮怨詩,012_劉得仁_長門怨.txt,劉得仁,長門怨,男,28
G1_宮怨詩,013_劉方平_春怨.txt,劉方平,春怨,男,28
G1_宮怨詩,014_劉方平_班婕妤.txt,劉方平,班婕妤,男,40
G1_宮怨詩,015_劉方平_銅雀妓.txt,劉方平,銅雀妓,男,40
G1_宮怨詩,016_劉方平_長信宮.txt,劉方平,長信宮,男,20
G1_宮怨詩,017_劉皂_長門怨三首.txt,劉皂,長門怨三首,男,84
G1_宮怨詩,018_劉禹錫_團扇歌.txt,劉禹錫,團扇歌,男,40
G1_宮怨詩,019_劉禹錫_秋扇詞.txt,劉禹錫,秋扇詞,男,28
G1_宮怨詩,020_劉禹錫_詠古二首有所寄.txt,劉禹錫,詠古二首有所寄,男,80
G1_宮怨詩,021_劉禹錫_阿嬌怨.txt,劉禹錫,阿嬌怨,男,28
G1_宮怨詩,022_劉禹錫_阿嬌怨.txt,劉禹錫,阿嬌怨,男,28
G1_宮怨詩,023_劉禹錫_魏宮詞二首.txt,劉禹錫,魏宮詞二首,男,56
G1_宮怨詩,024_劉言史_長門怨.txt,劉言史,長門怨,男,28
G1_宮怨詩,025_劉言史_長門怨.txt,劉言史,長門怨,男,28
G1_宮怨詩,026_劉長卿_昭陽曲.txt,劉長卿,昭陽曲,男,28
G1_宮怨詩,027_劉長卿_長門怨.txt,劉長卿,長門怨,,40
G1_宮怨詩,028_劉長卿_長門怨.txt,劉長卿,長門怨,,40
G1_宮怨詩,029_劉雲_婕妤怨.txt,劉雲,婕妤怨,男?女?,34
G1_宮怨詩,030_劉駕_長門怨.txt,劉駕,長門怨,男,28
G1_宮怨詩,031_劉駕_長門怨.txt,劉駕,長門怨,男,28
G1_宮怨詩,032_吳少微_怨歌行.txt,吳少微,怨歌行,男,173
G1_宮怨詩,033_吳少微_長門怨.txt,吳少微,長門怨,男,60
G1_宮怨詩,034_吳少微_長門怨.txt,吳少微,長門怨,男,60
G1_宮怨詩,035_吳燭_銅雀妓.txt,吳燭,銅雀妓,男,40
G1_宮怨詩,036_吳燭_銅雀妓.txt,吳燭,銅雀妓,男,28
G1_宮怨詩,037_吳英秀_鸚鵡.txt,吳英秀,鸚鵡,男,28
G1_宮怨詩,038_吳融_上陽宮辭.txt,吳融,上陽宮辭,男,56
G1_宮怨詩,039_周濆_重門曲.txt,周濆,重門曲,,28
G1_宮怨詩,040_和凝_宮詞百首.txt,和凝,宮詞百首,男,2797
