author,gender,title,reason
司馬札,男,宮怨,author_missing
李咸用,男,春宮詞,title_miss
長孫輔佐,男,宮怨,author_missing
于濆,男,宮怨,title_miss
李咸用,,妾薄命,title_miss
段成式,,漢宮怨二首,title_miss
齊澣,,長門怨,author_missing
魏奉古,,長門怨,title_miss
于鵠,,送宮人入道歸山,title_miss
張籍,,節婦吟寄東平李司空師道,title_miss
朱慶餘,,閨意獻張水部,title_miss
張碣,,東都望幸,author_missing
虞世南,男,雜曲歌辭-陸州歌，排遍第三,title_miss
虞世南,男,雜曲歌辭-祓禊曲,title_miss
齊澣,男,長門怨,author_missing
李白,男,邯鄲才人嫁爲廝養卒婦,title_miss
粱鍠,,長門怨,author_missing
李嘉祐,男,古興,author_missing
李益,男,宮詞,title_miss
羊士諤,男,和李都郎中經宮人斜,title_miss
令狐楚,男,宮人斜,title_miss
李賀,男,河南府試十二月樂詞并閨月·十月,title_miss
李賀,男,追和何謝銅雀妓,title_miss
張祜,男,思歸隱,title_miss
杜牧,男,宮詞其一（蟬翼輕綃傅體紅）,title_miss
杜牧,男,宮詞其二（監宮引出暫開門）,title_miss
司馬札,男,宮怨,author_missing
于濆,男,宮怨,title_miss
李咸用,男,妾薄命,title_miss
李咸用,男,銅雀臺,title_miss
羅鄴,男,螢其一（水殿清風玉戶開）,title_miss
高蟾,男,宮詞,title_miss
鄭谷,男,長門怨其一（閒把羅衣泣鳳皇）,title_miss
鄭谷,男,長門怨其二（流水君恩共不回）,title_miss
孫元晏,男,梁·分宮女,title_miss
李益、法掁,,賦應門照綠苔,author_missing
田蛾,,攜手曲,author_missing
田蛾,,長信宮,author_missing
故臺城妓,,金陵詞,author_missing
魏奉古,男,長門怨,title_miss
無名氏,,閨情其四（自處長信宮）,title_miss
王貞白,男,昭陽落花,title_miss
孫郃,,長信宮,author_missing
孫郃,男,宮詞其一（楊柳宮邊日已斜）,author_missing
孫郃,男,宮詞其二（雙雙紫燕語呢喃）,author_missing
