author,title,gender,n_chars,form,G1_宮怨詩,G1m_代言,G2_女詩人,G3_女性自述,G3d_宮詞記事,G3l_閨怨抒情
于武陵,長信宮,男,20,五言,1,1,0,0,0,0
于武陵,長信宮二首,男,80,五言,1,1,0,0,0,0
令狐楚,思君恩,,20,五言,1,0,0,0,0,0
任翻,宮怨,男,20,五言,1,1,0,0,0,0
僖宗宮人,金鎖詩,,20,五言,1,0,1,0,0,0
元稹,上陽白髮人,男,224,七言,1,1,0,0,0,0
元稹,月暗,男,52,七言,1,1,0,0,0,0
元稹,苦樂相倚曲,男,168,七言,1,1,0,0,0,0
劉媛,長門怨,,56,七言,1,0,1,1,0,1
劉庭琦,銅雀台,男,28,七言,1,1,0,0,0,0
劉得仁,悲老宮人,男,28,七言,1,1,0,0,0,0
劉得仁,長門怨,男,28,七言,1,1,0,0,0,0
劉方平,春怨,男,28,七言,1,1,0,0,0,0
劉方平,班婕妤,男,40,五言,1,1,0,0,0,0
劉方平,銅雀妓,男,40,五言,1,1,0,0,0,0
劉方平,長信宮,男,20,五言,1,1,0,0,0,0
劉皂,長門怨三首,男,84,七言,1,1,0,0,0,0
劉禹錫,團扇歌,男,40,五言,1,1,0,0,0,0
劉禹錫,秋扇詞,男,28,七言,1,1,0,0,0,0
劉禹錫,詠古二首有所寄,男,80,五言,1,1,0,0,0,0
劉禹錫,阿嬌怨,男,28,七言,1,1,0,0,0,0
劉禹錫,阿嬌怨,男,28,七言,1,1,0,0,0,0
劉禹錫,魏宮詞二首,男,56,七言,1,1,0,0,0,0
劉言史,長門怨,男,28,七言,1,1,0,0,0,0
劉言史,長門怨,男,28,七言,1,1,0,0,0,0
劉長卿,昭陽曲,男,28,七言,1,1,0,0,0,0
劉長卿,長門怨,,40,五言,1,0,0,0,0,0
劉長卿,長門怨,,40,五言,1,0,0,0,0,0
劉雲,婕妤怨,男?女?,34,五言,1,0,0,0,0,0
劉駕,長門怨,男,28,七言,1,1,0,0,0,0
劉駕,長門怨,男,28,七言,1,1,0,0,0,0
吳少微,怨歌行,男,173,七言,1,1,0,0,0,0
吳少微,長門怨,男,60,五言,1,1,0,0,0,0
吳少微,長門怨,男,60,五言,1,1,0,0,0,0
吳燭,銅雀妓,男,40,五言,1,1,0,0,0,0
吳燭,銅雀妓,男,28,七言,1,1,0,0,0,0
