poet,label,pred,conf,n_poems,years,locations
馮延巳,南,北,0.8601353555615856,32,903-960,江南道·祁門
雍裕之,南,北,0.8245416517310339,31,~813,劍南道·成都
陳去疾,南,北,0.8221143593460605,12,?-?,江南道·侯官
孫魴,南,北,0.8155489885815073,22,~940,江南道·樂安 | 江南道·南昌
裴迪,北,南,0.8099741100473348,29,760-?,關內道
賀知章,南,北,0.8081933592470929,21,659-744,江南道·山陰 | 江南道·永興
褚亮,南,北,0.8040593562336033,35,560-647,江南道·錢塘
崔峒,北,南,0.7922617363784823,48,?-?,河北道·井陘
周賀,北,南,0.7821074192538261,93,?-?,河北道·洛陽
馬懷素,南,北,0.7699820693760975,12,659-718,淮南道·江都
張南史,北,南,0.7657718722581661,27,?-?,河北道
虞世南,南,北,0.7355091311036124,38,558-638,江南道·餘姚
李洞,北,南,0.7267763468392706,168,?-897?,關內道
蔣防,南,北,0.7154259355462806,12,?-?,江南道·義興
歐陽炯,南,北,0.7084183142997358,25,896-971,劍南道·華陽
陳子良,南,北,0.6970714135197456,13,575 - 632,江南道·吳縣
王轂,南,北,0.6905003943850065,17,?-?,江南道·宜春
賈島,北,南,0.6902725106480838,405,779-843,河北道·幽都
周曇,南,北,0.6897779740276354,195,?-?,江南道 | 江南道·分水
暢當,北,南,0.6857959850561216,15,,河東道·河東
韋處厚,北,南,0.6712172644776122,12,773-829,關內道·萬年
王昌齡,北,南,0.6710067881842615,170,690-756,關內道·萬年
常建,北,南,0.6667369004651673,52,708-765,關內道·長安
李郢,北,南,0.6640049089416538,71,?-?,關內道·長安
沈亞之,南,北,0.659061610836457,26,?-831,江南道
竇鞏,北,南,0.657625860032988,40,771-830,關內道·扶風
熊孺登,南,北,0.6564170615992815,30,768-?,江南道
薛據,北,南,0.6555149194064543,13,701-767,河東道·寶鼎 | 山南道
包佶,南,北,0.6511716328219588,48,727-792,江南道·延陵
劉長卿,北,南,0.6485301016929865,508,726?-790?,河北道·河間
駱賓王,南,北,0.6481714647856627,124,640-684,江南道·義烏
李涉,北,南,0.6480733753888924,108,?-?,河北道·洛陽
陳子昂,南,北,0.6462612857743516,90,661-702,劍南道·射洪
楊炯,北,南,0.6427592764903626,33,~685,關內道·華陰
莊南傑,南,北,0.6402572529231106,12,?-?,江南道
王季友1,北,南,0.6374107341290336,13,?-?,河北道·河南
高駢,北,南,0.6287274806181221,49,821-887,河北道
儲光羲,南,北,0.6244106957431675,176,706?-762?,江南道·延陵
皇甫松,北,南,0.6218996731989492,19,?-?,河北道·新安
胡宿,南,北,0.6209752328405147,19,995-1067,江南道·晉陵
祖詠,北,南,0.6198435287782185,37,?-?,河北道·洛陽
朱景玄,南,北,0.6190481860925503,16,,江南道·吳縣
楊發,北,南,0.6161048715040118,13,?-?,關內道·馮翊
張賁,南,北,0.6113718893988163,16,,山南道·南陽
丘為,南,北,0.6092963893358097,13,703-798,江南道·嘉興
韋莊,南,北,0.6068969820556436,336,836-910,嶺南道·杜陵
常袞,北,南,0.5965401192971282,10,?-?,關內道·長安
杜牧,北,南,0.5964502162599784,494,803-852,關內道·長安 | 關內道·萬年
盧鴻一,北,南,0.5951179065462093,10,?-?,河北道·洛陽
杜甫,北,南,0.5921488835495513,1157,712-770,關內道·長安
歐陽詹,南,北,0.5896240202061953,80,757-802,江南道·晉江
薛逢,北,南,0.5848979685173396,92,806-874,河東道·河東
蕭穎士,南,北,0.5846588430479027,19,709-760,江南道·丹徒 | 河南道·汝陰
丁仙芝,南,北,0.5834157954954702,12,?-?,江南道·曲阿
竇常,北,南,0.5833140686282305,26,747-825,關內道·金城
孟遲,北,南,0.5797085016800558,18,?-?,河北道·平昌
可止,北,南,0.5783490033250747,10,860-?,河北道·范陽
張蠙,北,南,0.578146213550346,102,?-?,河北道·清河
張碧,北,南,0.575203246049495,15,?-816,河南道·符離
秦韜玉,北,南,0.5717958135731627,38,?-?,關內道 | 江南道
蔣貽恭,南,北,0.5683270443808467,10,?-?,淮南道
竇庠,北,南,0.5606134854111248,20,766-828,關內道·金城
孟雲卿,北,南,0.5604924082455495,21,725?-?,河北道·河南 | 江南道·武昌 | 關內道
皮日休,南,北,0.5563756334468433,353,838-883,江南道·會稽 | 山南道·竟陵
盧肇,南,北,0.5554511030886713,29,818-882,江南道·宜春
陶翰,南,北,0.5503318608701537,18,?-?,江南道·丹徒 | 江南道·丹陽
無可,北,南,0.5499708729005206,98,?-?,河北道·范陽
李九齡,北,南,0.5496434726994996,19,?-?,河北道·洛陽
李端,北,南,0.542408712733202,269,?-786,河北道
陸龜蒙,南,北,0.536190937000855,518,?-881,江南道·吳縣
吳融,南,北,0.5337592094135861,284,?-903,江南道·山陰
薛存誠,北,南,0.5334307172858186,12,765-814,河東道·寶鼎
顏真卿,北,南,0.5328465182999446,30,709-784,關內道·長安
段成式,南,北,0.529980487153316,51,800-863,江南道·永新
李白,北,南,0.5276123819763342,881,701-762,河南道·任城
鮑溶,南,北,0.5257482791432972,186,?-?,淮南道
薛濤,北,南,0.5256811262126289,78,770-832,關內道·長安
獨孤及,北,南,0.5255883195041242,82,725-777,河北道·洛陽
包何,南,北,0.525505821681922,19,773-809,江南道·延陵
王建,北,南,0.5253365502084224,388,766-830,關內道
皎然,南,北,0.5220625475513492,506,730-799,江南道·長城
盧延讓,北,南,0.5208558617153821,14,?-?,河北道·范陽
殷堯藩,南,北,0.5186203483426302,78,780-855,江南道·嘉興
曹鄴,南,北,0.5165422687288153,106,816-875,嶺南道·陽朔 | 嶺南道·桂州
徐夤,南,北,0.5163665531781115,245,849-938,江南道·莆田
張又新,北,南,0.5146251807209735,17,?-?,河北道·陸澤
趙嘏,南,北,0.5115758626537164,258,806-854,淮南道·山陽
虛中,南,北,0.5110981361973301,15,,江南道·宜春
汪遵,南,北,0.510790627853323,60,?-?,江南道·涇縣
韓偓,北,南,0.5087680918709289,316,842-914?,關內道·萬年
劉駕,南,北,0.5078522640325875,74,882-?,江南道
于鄴,北,南,0.5077953073518002,11,?-?,關內道
吳筠,北,南,0.5077380816098009,77,715-778,關內道·華陰
耿湋,北,南,0.5029017684088406,181,736-787,河東道
元結,北,南,0.5020930428405533,91,719-772,河南道·固始
岑參,南,北,0.5017579222657005,388,715-770,江南道·鹽官 | 山南道
