字詞,詩人,詞頻
不,白居易,2551
人,白居易,1756
一,白居易,1600
無,白居易,1552
中,白居易,1451
日,白居易,1392
有,白居易,1366
春,白居易,1337
何,白居易,1268
年,白居易,1075
君,白居易,1061
來,白居易,1053
時,白居易,1047
風,白居易,1040
十,白居易,998
為,白居易,957
不,杜甫,951
上,白居易,914
山,白居易,887
花,白居易,878
心,白居易,875
如,白居易,871
三,白居易,865
白,白居易,836
月,白居易,835
和,白居易,827
日,杜甫,817
夜,白居易,814
自,白居易,812
人,杜甫,812
不,李白,810
酒,白居易,804
詩,白居易,784
老,白居易,780
生,白居易,777
得,白居易,775
秋,白居易,770
我,白居易,769
相,白居易,765
山,李白,762
此,白居易,753
人,李白,750
知,白居易,748
水,白居易,742
與,白居易,712
天,白居易,709
新,白居易,709
江,杜甫,701
美,陸龜蒙,693
襲,陸龜蒙,686
下,白居易,683
不,韓愈,668
不,元稹,662
行,白居易,657
江,白居易,657
身,白居易,653
是,白居易,644
多,白居易,637
未,白居易,620
天,李白,618
山,杜甫,616
二,白居易,604
之,白居易,603
風,杜甫,598
今,白居易,583
去,白居易,580
長,白居易,578
有,杜甫,570
無,杜甫,565
事,白居易,558
和,陸龜蒙,557
歸,白居易,548
東,白居易,546
前,白居易,545
白,杜甫,545
頭,白居易,544
在,白居易,541
閑,白居易,541
雲,白居易,539
天,元稹,538
五,白居易,527
不,貫休,526
月,李白,526
行,杜甫,525
雲,李白,523
遊,白居易,520
雲,杜甫,518
天,杜甫,513
處,白居易,508
朝,白居易,506
同,白居易,506
客,白居易,505
秋,杜甫,503
南,白居易,502
見,白居易,495
風,李白,494
不,孟郊,490
君,李白,489
白,李白,487
中,杜甫,487
病,白居易,485
家,白居易,482
人,劉禹錫,479
微,白居易,474
何,杜甫,474
聲,白居易,473
贈,李白,469
一,杜甫,469
門,白居易,467
水,杜甫,466
日,李白,463
亦,白居易,460
醉,白居易,457
奉,陸龜蒙,456
別,白居易,455
州,白居易,455
行,李白,454
後,白居易,453
道,白居易,453
作,白居易,453
一,李白,451
池,白居易,448
時,杜甫,442
思,白居易,442
水,李白,441
