字詞,詩人,詞頻
飲馬,李世民,3
馬長,李世民,2
長城,李世民,2
城窟,李世民,2
窟行,李世民,2
行執,李世民,1
執契,李世民,1
契靜,李世民,1
靜三,李世民,1
三邊,李世民,1
邊正,李世民,1
正日,李世民,1
日臨,李世民,2
臨朝,李世民,1
朝重,李世民,1
重幸,李世民,1
幸武,李世民,1
武功,李世民,1
功經,李世民,1
經破,李世民,1
破薛,李世民,1
薛舉,李世民,1
舉戰,李世民,1
戰地,李世民,1
地過,李世民,1
過舊,李世民,1
舊宅,李世民,1
宅二,李世民,1
二首,李世民,3
首還,李世民,1
還陝,李世民,1
陝述,李世民,1
述懷,李世民,2
懷入,李世民,1
入潼,李世民,1
潼關,李世民,1
關於,李世民,1
於北,李世民,1
北平,李世民,1
平作,李世民,1
作遼,李世民,1
遼城,李世民,1
城望,李世民,1
望月,李世民,1
月春,李世民,1
春日,李世民,3
日登,李世民,1
登陝,李世民,1
陝州,李世民,1
州城,李世民,1
城樓,李世民,1
樓俯,李世民,1
俯眺,李世民,1
眺原,李世民,1
原野,李世民,1
野廻,李世民,1
廻丹,李世民,1
丹碧,李世民,1
碧綴,李世民,1
綴煙,李世民,1
煙霞,李世民,1
霞密,李世民,1
密翠,李世民,1
翠斑,李世民,1
斑紅,李世民,1
紅芳,李世民,1
芳菲,李世民,1
菲花,李世民,1
花柳,李世民,1
柳即,李世民,1
即目,李世民,3
目川,李世民,1
川岫,李世民,1
岫聊,李世民,1
聊以,李世民,1
以命,李世民,1
命篇,李世民,1
篇春,李世民,1
日玄,李世民,1
玄武,李世民,1
武門,李世民,1
門宴,李世民,1
宴群,李世民,1
群臣,李世民,1
臣登,李世民,1
登三,李世民,1
三臺,李世民,1
臺言,李世民,1
言志,李世民,2
志出,李世民,1
出獵,李世民,1
獵冬,李世民,1
冬狩,李世民,1
狩春,李世民,1
日望,李世民,1
望海,李世民,1
海臨,李世民,1
臨洛,李世民,1
洛水,李世民,1
水望,李世民,1
望終,李世民,1
終南,李世民,1
南山,李世民,1
山元,李世民,1
元日,李世民,1
日初,李世民,1
初春,李世民,1
春登,李世民,1
登樓,李世民,1
樓即,李世民,1
目觀,李世民,1
觀作,李世民,1
作述,李世民,1
懷首,李世民,1
首春,李世民,1
春初,李世民,1
初晴,李世民,1
晴落,李世民,1
落景,李世民,1
景初,李世民,1
初夏,李世民,1
夏度,李世民,1
度秋,李世民,1
秋儀,李世民,1
儀鸞,李世民,1
鸞殿,李世民,1
殿早,李世民,1
早秋,李世民,1
秋秋,李世民,2
秋日,李世民,4
日即,李世民,1
目山,李世民,1
山閣,李世民,1
閣晚,李世民,1
晚秋,李世民,1
秋暮,李世民,1
暮言,李世民,1
志喜,李世民,1
喜雪,李世民,1
雪賦,李世民,2
賦尚,李世民,1
尚書,李世民,1
書詠,李世民,1
詠司,李世民,1
司馬,李世民,1
馬彪,李世民,1
彪續,李世民,1
續漢,李世民,1
漢志,李世民,1
志詠,李世民,1
詠風,李世民,1
風詠,李世民,1
詠雨,李世民,2
雨詠,李世民,1
詠雪,李世民,1
賦得,李世民,12
得夏,李世民,1
夏首,李世民,1
首啟,李世民,1
啟節,李世民,1
節賦,李世民,1
得白,李世民,1
白日,李世民,1
日半,李世民,1
半西,李世民,1
