字詞,詩人,詞頻
飲馬長,李世民,2
馬長城,李世民,2
長城窟,李世民,2
城窟行,李世民,2
窟行執,李世民,1
行執契,李世民,1
執契靜,李世民,1
契靜三,李世民,1
靜三邊,李世民,1
三邊正,李世民,1
邊正日,李世民,1
正日臨,李世民,1
日臨朝,李世民,1
臨朝重,李世民,1
朝重幸,李世民,1
重幸武,李世民,1
幸武功,李世民,1
武功經,李世民,1
功經破,李世民,1
經破薛,李世民,1
破薛舉,李世民,1
薛舉戰,李世民,1
舉戰地,李世民,1
戰地過,李世民,1
地過舊,李世民,1
過舊宅,李世民,1
舊宅二,李世民,1
宅二首,李世民,1
二首還,李世民,1
首還陝,李世民,1
還陝述,李世民,1
陝述懷,李世民,1
述懷入,李世民,1
懷入潼,李世民,1
入潼關,李世民,1
潼關於,李世民,1
關於北,李世民,1
於北平,李世民,1
北平作,李世民,1
平作遼,李世民,1
作遼城,李世民,1
遼城望,李世民,1
城望月,李世民,1
望月春,李世民,1
月春日,李世民,1
春日登,李世民,1
日登陝,李世民,1
登陝州,李世民,1
陝州城,李世民,1
州城樓,李世民,1
城樓俯,李世民,1
樓俯眺,李世民,1
俯眺原,李世民,1
眺原野,李世民,1
原野廻,李世民,1
野廻丹,李世民,1
廻丹碧,李世民,1
丹碧綴,李世民,1
碧綴煙,李世民,1
綴煙霞,李世民,1
煙霞密,李世民,1
霞密翠,李世民,1
密翠斑,李世民,1
翠斑紅,李世民,1
斑紅芳,李世民,1
紅芳菲,李世民,1
芳菲花,李世民,1
菲花柳,李世民,1
花柳即,李世民,1
柳即目,李世民,1
即目川,李世民,1
目川岫,李世民,1
川岫聊,李世民,1
岫聊以,李世民,1
聊以命,李世民,1
以命篇,李世民,1
命篇春,李世民,1
篇春日,李世民,1
春日玄,李世民,1
日玄武,李世民,1
玄武門,李世民,1
武門宴,李世民,1
門宴群,李世民,1
宴群臣,李世民,1
群臣登,李世民,1
臣登三,李世民,1
登三臺,李世民,1
三臺言,李世民,1
臺言志,李世民,1
言志出,李世民,1
志出獵,李世民,1
出獵冬,李世民,1
獵冬狩,李世民,1
冬狩春,李世民,1
狩春日,李世民,1
春日望,李世民,1
日望海,李世民,1
望海臨,李世民,1
海臨洛,李世民,1
臨洛水,李世民,1
洛水望,李世民,1
水望終,李世民,1
望終南,李世民,1
終南山,李世民,1
南山元,李世民,1
山元日,李世民,1
元日初,李世民,1
日初春,李世民,1
初春登,李世民,1
春登樓,李世民,1
登樓即,李世民,1
樓即目,李世民,1
即目觀,李世民,1
目觀作,李世民,1
觀作述,李世民,1
作述懷,李世民,1
述懷首,李世民,1
懷首春,李世民,1
首春初,李世民,1
春初晴,李世民,1
初晴落,李世民,1
晴落景,李世民,1
落景初,李世民,1
景初夏,李世民,1
初夏度,李世民,1
夏度秋,李世民,1
度秋儀,李世民,1
秋儀鸞,李世民,1
儀鸞殿,李世民,1
鸞殿早,李世民,1
殿早秋,李世民,1
早秋秋,李世民,1
秋秋日,李世民,1
秋日即,李世民,1
日即目,李世民,1
即目山,李世民,1
目山閣,李世民,1
山閣晚,李世民,1
閣晚秋,李世民,1
晚秋秋,李世民,1
秋秋暮,李世民,1
秋暮言,李世民,1
暮言志,李世民,1
言志喜,李世民,1
志喜雪,李世民,1
喜雪賦,李世民,1
雪賦尚,李世民,1
賦尚書,李世民,1
尚書詠,李世民,1
書詠司,李世民,1
詠司馬,李世民,1
司馬彪,李世民,1
馬彪續,李世民,1
彪續漢,李世民,1
續漢志,李世民,1
漢志詠,李世民,1
志詠風,李世民,1
詠風詠,李世民,1
風詠雨,李世民,1
詠雨詠,李世民,1
雨詠雪,李世民,1
詠雪賦,李世民,1
雪賦得,李世民,1
賦得夏,李世民,1
得夏首,李世民,1
夏首啟,李世民,1
首啟節,李世民,1
啟節賦,李世民,1
節賦得,李世民,1
賦得白,李世民,1
得白日,李世民,1
白日半,李世民,1
日半西,李世民,1
半西山,李世民,1
西山置,李世民,1
山置酒,李世民,1
置酒坐,李世民,1
酒坐飛,李世民,1
坐飛閣,李世民,1
飛閣采,李世民,1
閣采芙,李世民,1
采芙蓉,李世民,1
芙蓉賦,李世民,1
蓉賦得,李世民,1
賦得櫻,李世民,1
得櫻桃,李世民,1
櫻桃賦,李世民,1
桃賦得,李世民,1
賦得李,李世民,1
得李賦,李世民,1
李賦得,李世民,1
賦得浮,李世民,1
得浮橋,李世民,1
浮橋謁,李世民,1
橋謁並,李世民,1
謁並州,李世民,1
並州大,李世民,1
州大興,李世民,1
大興國,李世民,1
興國寺,李世民,2
國寺詩,李世民,1
寺詩詠,李世民,1
詩詠興,李世民,1
詠興國,李世民,1
國寺佛,李世民,1
寺佛殿,李世民,1
佛殿前,李世民,1
殿前幡,李世民,1
前幡望,李世民,1
幡望送,李世民,1
望送魏,李世民,1
送魏徵,李世民,1
魏徵葬,李世民,1
徵葬傷,李世民,1
葬傷遼,李世民,1
傷遼東,李世民,1
遼東戰,李世民,1
東戰亡,李世民,1
戰亡月,李世民,1
亡月晦,李世民,1
月晦秋,李世民,1
晦秋日,李世民,1
秋日翠,李世民,1
日翠微,李世民,1
翠微宮,李世民,1
微宮初,李世民,1
宮初秋,李世民,1
初秋夜,李世民,1
秋夜坐,李世民,1
夜坐秋,李世民,1
坐秋日,李世民,1
秋日二,李世民,1
日二首,李世民,1
二首冬,李世民,1
首冬宵,李世民,1
冬宵各,李世民,1
宵各為,李世民,1
各為四,李世民,1
為四韻,李世民,1
四韻冬,李世民,1
韻冬日,李世民,1
冬日臨,李世民,1
日臨昆,李世民,1
臨昆明,李世民,1
昆明池,李世民,1
明池望,李世民,1
池望雪,李世民,1
望雪守,李世民,1
雪守歲,李世民,1
守歲除,李世民,1
歲除夜,李世民,1
除夜詠,李世民,1
夜詠雨,李世民,1
詠雨賦,李世民,1
雨賦得,李世民,1
賦得含,李世民,1
得含峰,李世民,1
含峰雲,李世民,1
峰雲三,李世民,1
雲三層,李世民,1
三層閣,李世民,1
層閣上,李世民,1
閣上置,李世民,1
上置音,李世民,1
置音聲,李世民,1
音聲遠,李世民,1
聲遠山,李世民,1
遠山澄,李世民,1
山澄碧,李世民,1
澄碧霧,李世民,1
碧霧賦,李世民,1
霧賦得,李世民,1
賦得花,李世民,1
得花庭,李世民,1
花庭霧,李世民,1
庭霧春,李世民,1
霧春池,李世民,1
春池柳,李世民,1
池柳芳,李世民,1
柳芳蘭,李世民,1
芳蘭詠,李世民,1
蘭詠桃,李世民,1
詠桃賦,李世民,1
桃賦簾,李世民,1
賦簾詠,李世民,1
簾詠烏,李世民,1
詠烏代,李世民,1
烏代陳,李世民,1
代陳師,李世民,1
陳師道,李世民,1
師道詠,李世民,1
道詠飲,李世民,1
詠飲馬,李世民,1
飲馬賦,李世民,1
馬賦得,李世民,1
賦得殘,李世民,1
得殘菊,李世民,1
殘菊賦,李世民,1
菊賦秋,李世民,1
賦秋日,李世民,1
秋日懸,李世民,1
日懸清,李世民,1
懸清光,李世民,1
清光賜,李世民,1
光賜房,李世民,1
賜房玄,李世民,2
房玄齡,李世民,2
玄齡琵,李世民,1
齡琵琶,李世民,1
琵琶宴,李世民,1
琶宴中,李世民,1
宴中山,李世民,1
中山餞,李世民,1
山餞中,李世民,1
餞中書,李世民,1
中書侍,李世民,1
書侍郎,李世民,1
侍郎來,李世民,1
郎來濟,李世民,1
來濟於,李世民,1
濟於太,李世民,1
於太原,李世民,1
太原召,李世民,1
原召侍,李世民,1
召侍臣,李世民,1
侍臣賜,李世民,1
臣賜宴,李世民,1
賜宴守,李世民,1
宴守歲,李世民,1
守歲詠,李世民,1
歲詠燭,李世民,1
詠燭二,李世民,1
燭二首,李世民,1
二首詠,李世民,1
首詠弓,李世民,1
詠弓賦,李世民,1
弓賦得,李世民,1
賦得早,李世民,1
得早雁,李世民,1
早雁出,李世民,1
雁出雲,李世民,1
出雲鳴,李世民,1
雲鳴賦,李世民,1
鳴賦得,李世民,1
賦得臨,李世民,2
得臨池,李世民,2
臨池柳,李世民,1
池柳賦,李世民,1
柳賦得,李世民,1
臨池竹,李世民,1
池竹賦,李世民,1
竹賦得,李世民,1
賦得弱,李世民,1
得弱柳,李世民,1
弱柳鳴,李世民,1
柳鳴秋,李世民,1
鳴秋蟬,李世民,1
秋蟬探,李世民,1
蟬探得,李世民,1
探得李,李世民,1
得李詠,李世民,1
李詠小,李世民,1
詠小山,李世民,1
小山賜,李世民,1
山賜蕭,李世民,1
賜蕭瑀,李世民,1
蕭瑀賜,李世民,1
瑀賜房,李世民,1
玄齡遼,李世民,1
齡遼東,李世民,1
遼東山,李世民,1
東山夜,李世民,1
山夜臨,李世民,1
夜臨秋,李世民,1
臨秋賜,李世民,1
秋賜魏,李世民,1
賜魏徵,李世民,1
魏徵詩,李世民,1
徵詩兩,李世民,1
詩兩儀,李世民,1
兩儀殿,李世民,1
儀殿賦,李世民,1
殿賦柏,李世民,1
賦柏梁,李世民,1
柏梁體,李世民,1
梁體句,李世民,1
體句相,李世民,1
句相和,李世民,1
相和歌,李世民,1
和歌辭,李世民,1
歌辭飲,李世民,1
辭飲馬,李世民,1
七夕宴,李治,1
夕宴懸,李治,1
宴懸圃,李治,1
懸圃二,李治,1
圃二首,李治,1
二首過,李治,1
首過溫,李治,1
過溫湯,李治,1
溫湯九,李治,1
湯九月,李治,1
九月九,李治,1
月九日,李治,1
九日謁,李治,1
日謁慈,李治,1
謁慈恩,李治,1
慈恩寺,李治,2
恩寺題,李治,1
寺題奘,李治,1
題奘法,李治,1
奘法師,李治,1
法師房,李治,1
師房謁,李治,1
房謁大,李治,1
謁大慈,李治,1
大慈恩,李治,1
恩寺守,李治,1
寺守歲,李治,1
守歲咸,李治,1
歲咸亨,李治,1
咸亨殿,李治,1
亨殿宴,李治,1
殿宴近,李治,1
宴近臣,李治,1
近臣諸,李治,1
臣諸親,李治,1
諸親柏,李治,1
親柏梁,李治,1
柏梁體,李治,1
九月九,李顯,1
月九日,李顯,1
九日幸,李顯,1
日幸臨,李顯,1
幸臨渭,李顯,1
臨渭亭,李顯,1
渭亭登,李顯,1
亭登高,李顯,1
登高得,李顯,1
高得秋,李顯,1
得秋字,李顯,1
秋字登,李顯,1
字登驪,李顯,1
登驪山,李顯,1
驪山高,李顯,1
山高頂,李顯,1
高頂寓,李顯,1
頂寓目,李顯,1
寓目幸,李顯,1
目幸秦,李顯,1
幸秦始,李顯,1
秦始皇,李顯,1
始皇陵,李顯,1
皇陵立,李顯,1
陵立春,李顯,1
立春日,李顯,1
春日遊,李顯,1
