字詞,詩人,詞頻
飲馬長城窟行,李世民,2
馬長城窟行執,李世民,1
長城窟行執契,李世民,1
城窟行執契靜,李世民,1
窟行執契靜三,李世民,1
行執契靜三邊,李世民,1
執契靜三邊正,李世民,1
契靜三邊正日,李世民,1
靜三邊正日臨,李世民,1
三邊正日臨朝,李世民,1
邊正日臨朝重,李世民,1
正日臨朝重幸,李世民,1
日臨朝重幸武,李世民,1
臨朝重幸武功,李世民,1
朝重幸武功經,李世民,1
重幸武功經破,李世民,1
幸武功經破薛,李世民,1
武功經破薛舉,李世民,1
功經破薛舉戰,李世民,1
經破薛舉戰地,李世民,1
破薛舉戰地過,李世民,1
薛舉戰地過舊,李世民,1
舉戰地過舊宅,李世民,1
戰地過舊宅二,李世民,1
地過舊宅二首,李世民,1
過舊宅二首還,李世民,1
舊宅二首還陝,李世民,1
宅二首還陝述,李世民,1
二首還陝述懷,李世民,1
首還陝述懷入,李世民,1
還陝述懷入潼,李世民,1
陝述懷入潼關,李世民,1
述懷入潼關於,李世民,1
懷入潼關於北,李世民,1
入潼關於北平,李世民,1
潼關於北平作,李世民,1
關於北平作遼,李世民,1
於北平作遼城,李世民,1
北平作遼城望,李世民,1
平作遼城望月,李世民,1
作遼城望月春,李世民,1
遼城望月春日,李世民,1
城望月春日登,李世民,1
望月春日登陝,李世民,1
月春日登陝州,李世民,1
春日登陝州城,李世民,1
日登陝州城樓,李世民,1
登陝州城樓俯,李世民,1
陝州城樓俯眺,李世民,1
州城樓俯眺原,李世民,1
城樓俯眺原野,李世民,1
樓俯眺原野廻,李世民,1
俯眺原野廻丹,李世民,1
眺原野廻丹碧,李世民,1
原野廻丹碧綴,李世民,1
野廻丹碧綴煙,李世民,1
廻丹碧綴煙霞,李世民,1
丹碧綴煙霞密,李世民,1
碧綴煙霞密翠,李世民,1
綴煙霞密翠斑,李世民,1
煙霞密翠斑紅,李世民,1
霞密翠斑紅芳,李世民,1
密翠斑紅芳菲,李世民,1
翠斑紅芳菲花,李世民,1
斑紅芳菲花柳,李世民,1
紅芳菲花柳即,李世民,1
芳菲花柳即目,李世民,1
菲花柳即目川,李世民,1
花柳即目川岫,李世民,1
柳即目川岫聊,李世民,1
即目川岫聊以,李世民,1
目川岫聊以命,李世民,1
川岫聊以命篇,李世民,1
岫聊以命篇春,李世民,1
聊以命篇春日,李世民,1
以命篇春日玄,李世民,1
命篇春日玄武,李世民,1
篇春日玄武門,李世民,1
春日玄武門宴,李世民,1
日玄武門宴群,李世民,1
玄武門宴群臣,李世民,1
武門宴群臣登,李世民,1
門宴群臣登三,李世民,1
宴群臣登三臺,李世民,1
群臣登三臺言,李世民,1
臣登三臺言志,李世民,1
登三臺言志出,李世民,1
三臺言志出獵,李世民,1
臺言志出獵冬,李世民,1
言志出獵冬狩,李世民,1
志出獵冬狩春,李世民,1
出獵冬狩春日,李世民,1
獵冬狩春日望,李世民,1
冬狩春日望海,李世民,1
狩春日望海臨,李世民,1
春日望海臨洛,李世民,1
日望海臨洛水,李世民,1
望海臨洛水望,李世民,1
海臨洛水望終,李世民,1
臨洛水望終南,李世民,1
洛水望終南山,李世民,1
水望終南山元,李世民,1
望終南山元日,李世民,1
終南山元日初,李世民,1
南山元日初春,李世民,1
山元日初春登,李世民,1
元日初春登樓,李世民,1
日初春登樓即,李世民,1
初春登樓即目,李世民,1
春登樓即目觀,李世民,1
登樓即目觀作,李世民,1
樓即目觀作述,李世民,1
即目觀作述懷,李世民,1
目觀作述懷首,李世民,1
觀作述懷首春,李世民,1
作述懷首春初,李世民,1
述懷首春初晴,李世民,1
懷首春初晴落,李世民,1
首春初晴落景,李世民,1
春初晴落景初,李世民,1
初晴落景初夏,李世民,1
晴落景初夏度,李世民,1
落景初夏度秋,李世民,1
景初夏度秋儀,李世民,1
初夏度秋儀鸞,李世民,1
夏度秋儀鸞殿,李世民,1
度秋儀鸞殿早,李世民,1
秋儀鸞殿早秋,李世民,1
儀鸞殿早秋秋,李世民,1
鸞殿早秋秋日,李世民,1
殿早秋秋日即,李世民,1
早秋秋日即目,李世民,1
秋秋日即目山,李世民,1
秋日即目山閣,李世民,1
日即目山閣晚,李世民,1
即目山閣晚秋,李世民,1
目山閣晚秋秋,李世民,1
山閣晚秋秋暮,李世民,1
閣晚秋秋暮言,李世民,1
晚秋秋暮言志,李世民,1
秋秋暮言志喜,李世民,1
秋暮言志喜雪,李世民,1
暮言志喜雪賦,李世民,1
言志喜雪賦尚,李世民,1
志喜雪賦尚書,李世民,1
喜雪賦尚書詠,李世民,1
雪賦尚書詠司,李世民,1
賦尚書詠司馬,李世民,1
尚書詠司馬彪,李世民,1
書詠司馬彪續,李世民,1
詠司馬彪續漢,李世民,1
司馬彪續漢志,李世民,1
馬彪續漢志詠,李世民,1
彪續漢志詠風,李世民,1
續漢志詠風詠,李世民,1
漢志詠風詠雨,李世民,1
志詠風詠雨詠,李世民,1
詠風詠雨詠雪,李世民,1
風詠雨詠雪賦,李世民,1
詠雨詠雪賦得,李世民,1
雨詠雪賦得夏,李世民,1
詠雪賦得夏首,李世民,1
雪賦得夏首啟,李世民,1
賦得夏首啟節,李世民,1
得夏首啟節賦,李世民,1
夏首啟節賦得,李世民,1
首啟節賦得白,李世民,1
啟節賦得白日,李世民,1
節賦得白日半,李世民,1
賦得白日半西,李世民,1
得白日半西山,李世民,1
白日半西山置,李世民,1
日半西山置酒,李世民,1
半西山置酒坐,李世民,1
西山置酒坐飛,李世民,1
山置酒坐飛閣,李世民,1
置酒坐飛閣采,李世民,1
酒坐飛閣采芙,李世民,1
坐飛閣采芙蓉,李世民,1
飛閣采芙蓉賦,李世民,1
閣采芙蓉賦得,李世民,1
采芙蓉賦得櫻,李世民,1
芙蓉賦得櫻桃,李世民,1
蓉賦得櫻桃賦,李世民,1
賦得櫻桃賦得,李世民,1
得櫻桃賦得李,李世民,1
櫻桃賦得李賦,李世民,1
桃賦得李賦得,李世民,1
賦得李賦得浮,李世民,1
得李賦得浮橋,李世民,1
李賦得浮橋謁,李世民,1
賦得浮橋謁並,李世民,1
得浮橋謁並州,李世民,1
浮橋謁並州大,李世民,1
橋謁並州大興,李世民,1
謁並州大興國,李世民,1
並州大興國寺,李世民,1
州大興國寺詩,李世民,1
大興國寺詩詠,李世民,1
興國寺詩詠興,李世民,1
國寺詩詠興國,李世民,1
寺詩詠興國寺,李世民,1
詩詠興國寺佛,李世民,1
詠興國寺佛殿,李世民,1
興國寺佛殿前,李世民,1
國寺佛殿前幡,李世民,1
寺佛殿前幡望,李世民,1
佛殿前幡望送,李世民,1
殿前幡望送魏,李世民,1
前幡望送魏徵,李世民,1
幡望送魏徵葬,李世民,1
望送魏徵葬傷,李世民,1
送魏徵葬傷遼,李世民,1
魏徵葬傷遼東,李世民,1
徵葬傷遼東戰,李世民,1
葬傷遼東戰亡,李世民,1
傷遼東戰亡月,李世民,1
遼東戰亡月晦,李世民,1
東戰亡月晦秋,李世民,1
戰亡月晦秋日,李世民,1
亡月晦秋日翠,李世民,1
月晦秋日翠微,李世民,1
晦秋日翠微宮,李世民,1
秋日翠微宮初,李世民,1
日翠微宮初秋,李世民,1
翠微宮初秋夜,李世民,1
微宮初秋夜坐,李世民,1
宮初秋夜坐秋,李世民,1
初秋夜坐秋日,李世民,1
秋夜坐秋日二,李世民,1
夜坐秋日二首,李世民,1
坐秋日二首冬,李世民,1
秋日二首冬宵,李世民,1
日二首冬宵各,李世民,1
二首冬宵各為,李世民,1
首冬宵各為四,李世民,1
冬宵各為四韻,李世民,1
宵各為四韻冬,李世民,1
各為四韻冬日,李世民,1
為四韻冬日臨,李世民,1
四韻冬日臨昆,李世民,1
韻冬日臨昆明,李世民,1
冬日臨昆明池,李世民,1
日臨昆明池望,李世民,1
臨昆明池望雪,李世民,1
昆明池望雪守,李世民,1
明池望雪守歲,李世民,1
池望雪守歲除,李世民,1
望雪守歲除夜,李世民,1
雪守歲除夜詠,李世民,1
守歲除夜詠雨,李世民,1
歲除夜詠雨賦,李世民,1
除夜詠雨賦得,李世民,1
夜詠雨賦得含,李世民,1
詠雨賦得含峰,李世民,1
雨賦得含峰雲,李世民,1
賦得含峰雲三,李世民,1
得含峰雲三層,李世民,1
含峰雲三層閣,李世民,1
峰雲三層閣上,李世民,1
雲三層閣上置,李世民,1
三層閣上置音,李世民,1
層閣上置音聲,李世民,1
閣上置音聲遠,李世民,1
上置音聲遠山,李世民,1
置音聲遠山澄,李世民,1
音聲遠山澄碧,李世民,1
聲遠山澄碧霧,李世民,1
遠山澄碧霧賦,李世民,1
山澄碧霧賦得,李世民,1
澄碧霧賦得花,李世民,1
碧霧賦得花庭,李世民,1
霧賦得花庭霧,李世民,1
賦得花庭霧春,李世民,1
得花庭霧春池,李世民,1
花庭霧春池柳,李世民,1
庭霧春池柳芳,李世民,1
霧春池柳芳蘭,李世民,1
春池柳芳蘭詠,李世民,1
池柳芳蘭詠桃,李世民,1
柳芳蘭詠桃賦,李世民,1
芳蘭詠桃賦簾,李世民,1
蘭詠桃賦簾詠,李世民,1
詠桃賦簾詠烏,李世民,1
桃賦簾詠烏代,李世民,1
賦簾詠烏代陳,李世民,1
簾詠烏代陳師,李世民,1
詠烏代陳師道,李世民,1
烏代陳師道詠,李世民,1
代陳師道詠飲,李世民,1
陳師道詠飲馬,李世民,1
師道詠飲馬賦,李世民,1
道詠飲馬賦得,李世民,1
詠飲馬賦得殘,李世民,1
飲馬賦得殘菊,李世民,1
馬賦得殘菊賦,李世民,1
賦得殘菊賦秋,李世民,1
得殘菊賦秋日,李世民,1
殘菊賦秋日懸,李世民,1
菊賦秋日懸清,李世民,1
賦秋日懸清光,李世民,1
秋日懸清光賜,李世民,1
日懸清光賜房,李世民,1
懸清光賜房玄,李世民,1
清光賜房玄齡,李世民,1
光賜房玄齡琵,李世民,1
賜房玄齡琵琶,李世民,1
房玄齡琵琶宴,李世民,1
玄齡琵琶宴中,李世民,1
齡琵琶宴中山,李世民,1
琵琶宴中山餞,李世民,1
琶宴中山餞中,李世民,1
宴中山餞中書,李世民,1
中山餞中書侍,李世民,1
山餞中書侍郎,李世民,1
餞中書侍郎來,李世民,1
中書侍郎來濟,李世民,1
書侍郎來濟於,李世民,1
侍郎來濟於太,李世民,1
郎來濟於太原,李世民,1
來濟於太原召,李世民,1
濟於太原召侍,李世民,1
於太原召侍臣,李世民,1
太原召侍臣賜,李世民,1
原召侍臣賜宴,李世民,1
召侍臣賜宴守,李世民,1
侍臣賜宴守歲,李世民,1
臣賜宴守歲詠,李世民,1
賜宴守歲詠燭,李世民,1
宴守歲詠燭二,李世民,1
守歲詠燭二首,李世民,1
歲詠燭二首詠,李世民,1
詠燭二首詠弓,李世民,1
燭二首詠弓賦,李世民,1
二首詠弓賦得,李世民,1
首詠弓賦得早,李世民,1
詠弓賦得早雁,李世民,1
弓賦得早雁出,李世民,1
賦得早雁出雲,李世民,1
得早雁出雲鳴,李世民,1
早雁出雲鳴賦,李世民,1
雁出雲鳴賦得,李世民,1
出雲鳴賦得臨,李世民,1
雲鳴賦得臨池,李世民,1
鳴賦得臨池柳,李世民,1
賦得臨池柳賦,李世民,1
得臨池柳賦得,李世民,1
臨池柳賦得臨,李世民,1
池柳賦得臨池,李世民,1
柳賦得臨池竹,李世民,1
賦得臨池竹賦,李世民,1
得臨池竹賦得,李世民,1
臨池竹賦得弱,李世民,1
池竹賦得弱柳,李世民,1
竹賦得弱柳鳴,李世民,1
賦得弱柳鳴秋,李世民,1
得弱柳鳴秋蟬,李世民,1
弱柳鳴秋蟬探,李世民,1
柳鳴秋蟬探得,李世民,1
鳴秋蟬探得李,李世民,1
秋蟬探得李詠,李世民,1
蟬探得李詠小,李世民,1
探得李詠小山,李世民,1
得李詠小山賜,李世民,1
李詠小山賜蕭,李世民,1
詠小山賜蕭瑀,李世民,1
小山賜蕭瑀賜,李世民,1
山賜蕭瑀賜房,李世民,1
賜蕭瑀賜房玄,李世民,1
蕭瑀賜房玄齡,李世民,1
瑀賜房玄齡遼,李世民,1
賜房玄齡遼東,李世民,1
